No.1, R2: 0.823193, MSE: 0.147249, MAE: 0.325336, EV: 0.823317 {'colsample_bytree': 0.6530160348803772, 'gamma': 0.24304682895215038, 'learning_rate': 0.2897468137464975, 'max_depth': 2.0, 'min_child_weight': 7.636131234858394, 'n_estimators': 247.0, 'subsample': 0.8010704689185381}
No.2, R2: 0.831982, MSE: 0.139930, MAE: 0.307362, EV: 0.831991 {'colsample_bytree': 0.6452826722407143, 'gamma': 0.24133039247542884, 'learning_rate': 0.2707155661517014, 'max_depth': 3.0, 'min_child_weight': 7.631623237734856, 'n_estimators': 238.0, 'subsample': 0.805075262776624}
No.3, R2: 0.840382, MSE: 0.132934, MAE: 0.296533, EV: 0.841258 {'colsample_bytree': 0.6454005857085995, 'gamma': 0.2549094086084942, 'learning_rate': 0.27966228531349946, 'max_depth': 1.0, 'min_child_weight': 7.649270279097975, 'n_estimators': 180.0, 'subsample': 0.7968117983515746}
No.4, R2: 0.830239, MSE: 0.141381, MAE: 0.307974, EV: 0.830249 {'colsample_bytree': 0.6462408501406539, 'gamma': 0.2533976028137833, 'learning_rate': 0.273079277611935, 'max_depth': 2.0, 'min_child_weight': 7.6380975003106935, 'n_estimators': 191.0, 'subsample': 0.8077449546370772}
No.5, R2: 0.847960, MSE: 0.126623, MAE: 0.291157, EV: 0.847973 {'colsample_bytree': 0.653799154872757, 'gamma': 0.24806328948761713, 'learning_rate': 0.27608536735076145, 'max_depth': 2.0, 'min_child_weight': 7.639358917641274, 'n_estimators': 173.0, 'subsample': 0.8020548196180072}
No.6, R2: 0.837551, MSE: 0.135291, MAE: 0.304675, EV: 0.837936 {'colsample_bytree': 0.6457033608336715, 'gamma': 0.2419336789399445, 'learning_rate': 0.2898372208987902, 'max_depth': 3.0, 'min_child_weight': 7.6329640662432325, 'n_estimators': 197.0, 'subsample': 0.7968985186779529}
No.7, R2: 0.833673, MSE: 0.138521, MAE: 0.312130, EV: 0.833725 {'colsample_bytree': 0.6489689181762929, 'gamma': 0.24474767382756007, 'learning_rate': 0.27153695346285384, 'max_depth': 2.0, 'min_child_weight': 7.646597040922457, 'n_estimators': 223.0, 'subsample': 0.8039023619864922}
No.8, R2: 0.822439, MSE: 0.147877, MAE: 0.304143, EV: 0.822711 {'colsample_bytree': 0.6490584678486312, 'gamma': 0.25645862926330937, 'learning_rate': 0.27444776210455724, 'max_depth': 2.0, 'min_child_weight': 7.638848183143472, 'n_estimators': 215.0, 'subsample': 0.805457085261216}
No.9, R2: 0.851901, MSE: 0.123341, MAE: 0.287115, EV: 0.852118 {'colsample_bytree': 0.6452138883480392, 'gamma': 0.24517331113855606, 'learning_rate': 0.2861246378823341, 'max_depth': 3.0, 'min_child_weight': 7.649399657207286, 'n_estimators': 245.0, 'subsample': 0.8055901285590757}
No.10, R2: 0.830441, MSE: 0.141213, MAE: 0.305766, EV: 0.831646 {'colsample_bytree': 0.6460714885694754, 'gamma': 0.2538978690460698, 'learning_rate': 0.2732270292235508, 'max_depth': 1.0, 'min_child_weight': 7.634763459295357, 'n_estimators': 209.0, 'subsample': 0.8038090525034998}
No.11, R2: 0.828659, MSE: 0.142697, MAE: 0.318112, EV: 0.828874 {'colsample_bytree': 0.6516050192620887, 'gamma': 0.25993350094234063, 'learning_rate': 0.28584742983620914, 'max_depth': 2.0, 'min_child_weight': 7.64874903327085, 'n_estimators': 219.0, 'subsample': 0.8032066867753079}
No.12, R2: 0.827635, MSE: 0.143550, MAE: 0.312797, EV: 0.827748 {'colsample_bytree': 0.6511097910293769, 'gamma': 0.2413348001217057, 'learning_rate': 0.28835313785671557, 'max_depth': 1.0, 'min_child_weight': 7.6355259463080065, 'n_estimators': 232.0, 'subsample': 0.8021942716860628}
No.13, R2: 0.846590, MSE: 0.127764, MAE: 0.296115, EV: 0.846662 {'colsample_bytree': 0.6478854933137911, 'gamma': 0.2546835521394978, 'learning_rate': 0.2719186076550343, 'max_depth': 3.0, 'min_child_weight': 7.6417267444977375, 'n_estimators': 191.0, 'subsample': 0.8098872682871444}
