No.1, R2: 0.851139, MSE: 0.123975, MAE: 0.283876, EV: 0.852173 {'colsample_bytree': 0.6486508882881418, 'gamma': 0.24229733310753454, 'learning_rate': 0.2748870879632741, 'max_depth': 1.0, 'min_child_weight': 7.641293937806163, 'n_estimators': 246.0, 'subsample': 0.802568478039596}
No.2, R2: 0.832716, MSE: 0.139318, MAE: 0.311599, EV: 0.832721 {'colsample_bytree': 0.6479032923129919, 'gamma': 0.2544811173395267, 'learning_rate': 0.28857719267166215, 'max_depth': 3.0, 'min_child_weight': 7.641210575443094, 'n_estimators': 226.0, 'subsample': 0.7950456923873288}
No.3, R2: 0.879908, MSE: 0.100015, MAE: 0.261685, EV: 0.879960 {'colsample_bytree': 0.6501958411880593, 'gamma': 0.2578834290637951, 'learning_rate': 0.2748978437480345, 'max_depth': 2.0, 'min_child_weight': 7.6337993693955, 'n_estimators': 210.0, 'subsample': 0.7998143733450155}
No.4, R2: 0.831915, MSE: 0.139985, MAE: 0.308556, EV: 0.832747 {'colsample_bytree': 0.6466209328987903, 'gamma': 0.2528485613821702, 'learning_rate': 0.27734904911627234, 'max_depth': 1.0, 'min_child_weight': 7.638420666130557, 'n_estimators': 237.0, 'subsample': 0.8058990987354379}
No.5, R2: 0.789131, MSE: 0.175617, MAE: 0.350043, EV: 0.789219 {'colsample_bytree': 0.6526959756437897, 'gamma': 0.24395437162669317, 'learning_rate': 0.2856416300039771, 'max_depth': 2.0, 'min_child_weight': 7.6484566132025265, 'n_estimators': 243.0, 'subsample': 0.798916752090488}
No.6, R2: 0.853756, MSE: 0.121796, MAE: 0.290874, EV: 0.853815 {'colsample_bytree': 0.6491457835051753, 'gamma': 0.2446525029514005, 'learning_rate': 0.27872048599256266, 'max_depth': 2.0, 'min_child_weight': 7.643645322501564, 'n_estimators': 245.0, 'subsample': 0.8062035599114523}
No.7, R2: 0.849134, MSE: 0.125645, MAE: 0.299630, EV: 0.849136 {'colsample_bytree': 0.6540244691508034, 'gamma': 0.24018249872361658, 'learning_rate': 0.27678542707107595, 'max_depth': 2.0, 'min_child_weight': 7.6307479685559265, 'n_estimators': 209.0, 'subsample': 0.8044604649698579}
No.8, R2: 0.814378, MSE: 0.154590, MAE: 0.332722, EV: 0.814383 {'colsample_bytree': 0.6534560914762041, 'gamma': 0.24161494842615208, 'learning_rate': 0.28602817772919636, 'max_depth': 2.0, 'min_child_weight': 7.648229945776505, 'n_estimators': 233.0, 'subsample': 0.7990248831803516}
No.9, R2: 0.839176, MSE: 0.133939, MAE: 0.301361, EV: 0.839575 {'colsample_bytree': 0.6476380939068016, 'gamma': 0.25299793172443846, 'learning_rate': 0.27055920798666305, 'max_depth': 1.0, 'min_child_weight': 7.633298226101659, 'n_estimators': 202.0, 'subsample': 0.7984572643463889}
No.10, R2: 0.846529, MSE: 0.127815, MAE: 0.289690, EV: 0.846636 {'colsample_bytree': 0.6473400240937066, 'gamma': 0.25440285258392215, 'learning_rate': 0.27486959215916656, 'max_depth': 2.0, 'min_child_weight': 7.638449811973308, 'n_estimators': 181.0, 'subsample': 0.8057353516250865}
No.11, R2: 0.809797, MSE: 0.158406, MAE: 0.322345, EV: 0.809798 {'colsample_bytree': 0.6534548419664, 'gamma': 0.24116184013605468, 'learning_rate': 0.2859726298603744, 'max_depth': 3.0, 'min_child_weight': 7.6350564410658075, 'n_estimators': 199.0, 'subsample': 0.7965291542420315}
