No.1, R2: 0.828007, MSE: 0.143240, MAE: 0.317925, EV: 0.828134 {'colsample_bytree': 0.6473635932578297, 'gamma': 0.2593325139243948, 'learning_rate': 0.288995944341192, 'max_depth': 2.0, 'min_child_weight': 7.638817716881715, 'n_estimators': 235.0, 'subsample': 0.8075145871276976}
No.2, R2: 0.855974, MSE: 0.119949, MAE: 0.276495, EV: 0.855974 {'colsample_bytree': 0.647413274383418, 'gamma': 0.25841464529806896, 'learning_rate': 0.27996585133994506, 'max_depth': 2.0, 'min_child_weight': 7.645075860600555, 'n_estimators': 192.0, 'subsample': 0.7980772894198905}
No.3, R2: 0.843661, MSE: 0.130203, MAE: 0.291847, EV: 0.843676 {'colsample_bytree': 0.6528508117670543, 'gamma': 0.24793312876459733, 'learning_rate': 0.27794186334121734, 'max_depth': 2.0, 'min_child_weight': 7.639817366246425, 'n_estimators': 219.0, 'subsample': 0.8065410348877523}
No.4, R2: 0.819551, MSE: 0.150283, MAE: 0.323919, EV: 0.819774 {'colsample_bytree': 0.6477544782748935, 'gamma': 0.2500148564171222, 'learning_rate': 0.27552246727697843, 'max_depth': 2.0, 'min_child_weight': 7.6314056640078025, 'n_estimators': 192.0, 'subsample': 0.8081477666413507}
No.5, R2: 0.829111, MSE: 0.142320, MAE: 0.306949, EV: 0.829787 {'colsample_bytree': 0.6543546259237731, 'gamma': 0.2531327051065184, 'learning_rate': 0.28171570382331607, 'max_depth': 1.0, 'min_child_weight': 7.644592502395522, 'n_estimators': 179.0, 'subsample': 0.7966611590864822}
No.6, R2: 0.815919, MSE: 0.153308, MAE: 0.332839, EV: 0.816070 {'colsample_bytree': 0.6499914076480775, 'gamma': 0.2505728799725754, 'learning_rate': 0.28786284105446125, 'max_depth': 3.0, 'min_child_weight': 7.642492233590961, 'n_estimators': 241.0, 'subsample': 0.8016005751953503}
No.7, R2: 0.826551, MSE: 0.144452, MAE: 0.313600, EV: 0.826701 {'colsample_bytree': 0.6468355498629526, 'gamma': 0.2562998173815284, 'learning_rate': 0.28998877276034896, 'max_depth': 2.0, 'min_child_weight': 7.648039570447725, 'n_estimators': 240.0, 'subsample': 0.8042693399813827}
No.8, R2: 0.837117, MSE: 0.135653, MAE: 0.312145, EV: 0.837279 {'colsample_bytree': 0.6535724944982299, 'gamma': 0.24133334614124977, 'learning_rate': 0.289717969955926, 'max_depth': 3.0, 'min_child_weight': 7.634246741376692, 'n_estimators': 240.0, 'subsample': 0.8010151769142764}
No.9, R2: 0.832305, MSE: 0.139660, MAE: 0.301616, EV: 0.832619 {'colsample_bytree': 0.6490639074053042, 'gamma': 0.2540343831453069, 'learning_rate': 0.2707669705595287, 'max_depth': 2.0, 'min_child_weight': 7.640170760398282, 'n_estimators': 176.0, 'subsample': 0.808369440559714}
No.10, R2: 0.818503, MSE: 0.151155, MAE: 0.315756, EV: 0.818506 {'colsample_bytree': 0.6481393579441214, 'gamma': 0.252853974349117, 'learning_rate': 0.2894928978215757, 'max_depth': 2.0, 'min_child_weight': 7.647849113069466, 'n_estimators': 213.0, 'subsample': 0.7965926533730245}
No.11, R2: 0.818678, MSE: 0.151009, MAE: 0.319647, EV: 0.818866 {'colsample_bytree': 0.6511409362958982, 'gamma': 0.2595915517748263, 'learning_rate': 0.28831957053973506, 'max_depth': 1.0, 'min_child_weight': 7.630480708780339, 'n_estimators': 228.0, 'subsample': 0.8083782629980226}
No.12, R2: 0.843299, MSE: 0.130504, MAE: 0.299296, EV: 0.843333 {'colsample_bytree': 0.6496650682408427, 'gamma': 0.25161919338583355, 'learning_rate': 0.2754442275843446, 'max_depth': 2.0, 'min_child_weight': 7.6401091872385285, 'n_estimators': 221.0, 'subsample': 0.7982384207527587}
No.13, R2: 0.832187, MSE: 0.139759, MAE: 0.304859, EV: 0.832208 {'colsample_bytree': 0.6456318509251386, 'gamma': 0.2582776215831215, 'learning_rate': 0.2802304668208613, 'max_depth': 2.0, 'min_child_weight': 7.6488437544835275, 'n_estimators': 213.0, 'subsample': 0.7958888327323408}
No.14, R2: 0.842445, MSE: 0.131215, MAE: 0.296862, EV: 0.842853 {'colsample_bytree': 0.6522004577269231, 'gamma': 0.2500115087164825, 'learning_rate': 0.271670313053026, 'max_depth': 1.0, 'min_child_weight': 7.63073268357073, 'n_estimators': 250.0, 'subsample': 0.8041393823443073}
No.15, R2: 0.841545, MSE: 0.131966, MAE: 0.306029, EV: 0.841595 {'colsample_bytree': 0.650423617405941, 'gamma': 0.2533011519969187, 'learning_rate': 0.2714326040008673, 'max_depth': 3.0, 'min_child_weight': 7.641072634452953, 'n_estimators': 176.0, 'subsample': 0.8047304963639603}
No.16, R2: 0.834203, MSE: 0.138080, MAE: 0.306847, EV: 0.834302 {'colsample_bytree': 0.6507684489964597, 'gamma': 0.24189731354849228, 'learning_rate': 0.27143321778959284, 'max_depth': 2.0, 'min_child_weight': 7.630007650127043, 'n_estimators': 235.0, 'subsample': 0.7959771619200322}
No.17, R2: 0.851917, MSE: 0.123327, MAE: 0.292695, EV: 0.852095 {'colsample_bytree': 0.651392920460534, 'gamma': 0.2594776488280832, 'learning_rate': 0.2807246468955888, 'max_depth': 2.0, 'min_child_weight': 7.6372419068064845, 'n_estimators': 202.0, 'subsample': 0.8040177946786435}
No.18, R2: 0.832437, MSE: 0.139550, MAE: 0.312821, EV: 0.834261 {'colsample_bytree': 0.6525751615927848, 'gamma': 0.2542000458911616, 'learning_rate': 0.27003693212474184, 'max_depth': 3.0, 'min_child_weight': 7.6370799129556355, 'n_estimators': 225.0, 'subsample': 0.7995378897556253}
No.19, R2: 0.838745, MSE: 0.134298, MAE: 0.306296, EV: 0.838879 {'colsample_bytree': 0.652309963461761, 'gamma': 0.2527397617407808, 'learning_rate': 0.28829375025753873, 'max_depth': 2.0, 'min_child_weight': 7.643277464910326, 'n_estimators': 176.0, 'subsample': 0.7950710915672905}
No.20, R2: 0.835048, MSE: 0.137376, MAE: 0.303517, EV: 0.835138 {'colsample_bytree': 0.6456602652458254, 'gamma': 0.25667069074192517, 'learning_rate': 0.2775213841620084, 'max_depth': 1.0, 'min_child_weight': 7.637982321139336, 'n_estimators': 207.0, 'subsample': 0.8021442208304662}
No.21, R2: 0.837519, MSE: 0.135318, MAE: 0.297917, EV: 0.838598 {'colsample_bytree': 0.6487418778100054, 'gamma': 0.24552043019829878, 'learning_rate': 0.28341048527167945, 'max_depth': 1.0, 'min_child_weight': 7.635632118860271, 'n_estimators': 197.0, 'subsample': 0.7997649329138914}
No.22, R2: 0.852562, MSE: 0.122790, MAE: 0.288453, EV: 0.852730 {'colsample_bytree': 0.6464976882491275, 'gamma': 0.25660847353173594, 'learning_rate': 0.2834381053936858, 'max_depth': 3.0, 'min_child_weight': 7.645534400453849, 'n_estimators': 188.0, 'subsample': 0.8032134234601046}
