No.1, R2: 0.850722, MSE: 0.124322, MAE: 0.294909, EV: 0.850722 {'colsample_bytree': 0.6513486315914799, 'gamma': 0.25610234871464166, 'learning_rate': 0.2779809797654878, 'max_depth': 2.0, 'min_child_weight': 7.643879922547885, 'n_estimators': 226.0, 'subsample': 0.7965707394472109}
No.2, R2: 0.854053, MSE: 0.121548, MAE: 0.286026, EV: 0.854171 {'colsample_bytree': 0.6511697441353775, 'gamma': 0.2570817202634411, 'learning_rate': 0.2738225903371089, 'max_depth': 2.0, 'min_child_weight': 7.631733039312091, 'n_estimators': 200.0, 'subsample': 0.7967089050599254}
No.3, R2: 0.853041, MSE: 0.122391, MAE: 0.286873, EV: 0.853109 {'colsample_bytree': 0.6505474064547074, 'gamma': 0.2500135791041617, 'learning_rate': 0.2837379283397786, 'max_depth': 2.0, 'min_child_weight': 7.637278575535164, 'n_estimators': 198.0, 'subsample': 0.8072053229238156}
No.4, R2: 0.832942, MSE: 0.139130, MAE: 0.305699, EV: 0.833103 {'colsample_bytree': 0.6462496167332935, 'gamma': 0.2597908466309617, 'learning_rate': 0.28245162631581294, 'max_depth': 1.0, 'min_child_weight': 7.647606859694371, 'n_estimators': 233.0, 'subsample': 0.8048047125140823}
No.5, R2: 0.855389, MSE: 0.120436, MAE: 0.287895, EV: 0.855445 {'colsample_bytree': 0.6492829323273892, 'gamma': 0.256770672397191, 'learning_rate': 0.2824515811397013, 'max_depth': 2.0, 'min_child_weight': 7.632155399878855, 'n_estimators': 249.0, 'subsample': 0.8057419540789021}
No.6, R2: 0.845841, MSE: 0.128387, MAE: 0.300450, EV: 0.846116 {'colsample_bytree': 0.6474259669759497, 'gamma': 0.24453909164508805, 'learning_rate': 0.2748020947545906, 'max_depth': 3.0, 'min_child_weight': 7.633928131548181, 'n_estimators': 232.0, 'subsample': 0.7976439392891637}
No.7, R2: 0.802219, MSE: 0.164717, MAE: 0.335893, EV: 0.802222 {'colsample_bytree': 0.6454267033076498, 'gamma': 0.24808608373063415, 'learning_rate': 0.2820210911588383, 'max_depth': 2.0, 'min_child_weight': 7.646262853542631, 'n_estimators': 226.0, 'subsample': 0.8009615998500199}
No.8, R2: 0.829588, MSE: 0.141923, MAE: 0.316467, EV: 0.829700 {'colsample_bytree': 0.6460945165599279, 'gamma': 0.2478757450719608, 'learning_rate': 0.27753657193766335, 'max_depth': 3.0, 'min_child_weight': 7.647227477153639, 'n_estimators': 239.0, 'subsample': 0.8001461365276729}
No.9, R2: 0.818772, MSE: 0.150931, MAE: 0.318011, EV: 0.818964 {'colsample_bytree': 0.6526742406071454, 'gamma': 0.25603133814532986, 'learning_rate': 0.2882042351400712, 'max_depth': 1.0, 'min_child_weight': 7.63892500310262, 'n_estimators': 219.0, 'subsample': 0.806396310482709}
No.10, R2: 0.832108, MSE: 0.139824, MAE: 0.305690, EV: 0.832185 {'colsample_bytree': 0.648104185795283, 'gamma': 0.2548847814994095, 'learning_rate': 0.27900859280229123, 'max_depth': 1.0, 'min_child_weight': 7.639226339164708, 'n_estimators': 199.0, 'subsample': 0.8037856422374621}
No.11, R2: 0.815651, MSE: 0.153531, MAE: 0.314217, EV: 0.815743 {'colsample_bytree': 0.6458609607869532, 'gamma': 0.2547416585051911, 'learning_rate': 0.2821971839383973, 'max_depth': 2.0, 'min_child_weight': 7.641657187017653, 'n_estimators': 214.0, 'subsample': 0.800847575919037}
