No.1, R2: 0.845722, MSE: 0.128487, MAE: 0.299004, EV: 0.846744 {'colsample_bytree': 0.6459976310966823, 'gamma': 0.251980199042587, 'learning_rate': 0.2842867102552094, 'max_depth': 2.0, 'min_child_weight': 7.635644872845366, 'n_estimators': 238.0, 'subsample': 0.8030659366540422}
No.2, R2: 0.858736, MSE: 0.117648, MAE: 0.285164, EV: 0.858740 {'colsample_bytree': 0.6532378349704044, 'gamma': 0.24082523002837083, 'learning_rate': 0.2812908808921923, 'max_depth': 2.0, 'min_child_weight': 7.640377372666803, 'n_estimators': 214.0, 'subsample': 0.8050158942906117}
No.3, R2: 0.863936, MSE: 0.113317, MAE: 0.283010, EV: 0.863938 {'colsample_bytree': 0.6525642871209896, 'gamma': 0.2498153467093213, 'learning_rate': 0.2728055271070273, 'max_depth': 2.0, 'min_child_weight': 7.648437503173103, 'n_estimators': 220.0, 'subsample': 0.798637636854413}
No.4, R2: 0.823170, MSE: 0.147268, MAE: 0.320669, EV: 0.823313 {'colsample_bytree': 0.6476766888733873, 'gamma': 0.2515219151379969, 'learning_rate': 0.2877152924537701, 'max_depth': 2.0, 'min_child_weight': 7.639216532804459, 'n_estimators': 183.0, 'subsample': 0.803354512452934}
No.5, R2: 0.836849, MSE: 0.135876, MAE: 0.302216, EV: 0.837467 {'colsample_bytree': 0.6460537769708844, 'gamma': 0.24331253584454632, 'learning_rate': 0.27262244475425806, 'max_depth': 2.0, 'min_child_weight': 7.645042784714876, 'n_estimators': 208.0, 'subsample': 0.7951780770484366}
No.6, R2: 0.819261, MSE: 0.150524, MAE: 0.325763, EV: 0.820132 {'colsample_bytree': 0.6530439869297983, 'gamma': 0.24811764759182345, 'learning_rate': 0.2816898353497313, 'max_depth': 2.0, 'min_child_weight': 7.643792741557417, 'n_estimators': 230.0, 'subsample': 0.7990960780464138}
No.7, R2: 0.851825, MSE: 0.123404, MAE: 0.289404, EV: 0.851828 {'colsample_bytree': 0.6511447270257729, 'gamma': 0.25027398198768624, 'learning_rate': 0.27930334463808915, 'max_depth': 2.0, 'min_child_weight': 7.644464145373775, 'n_estimators': 218.0, 'subsample': 0.8045445381977537}
No.8, R2: 0.802167, MSE: 0.164760, MAE: 0.340323, EV: 0.802264 {'colsample_bytree': 0.6452198751257356, 'gamma': 0.24304552999404813, 'learning_rate': 0.2828346716583373, 'max_depth': 3.0, 'min_child_weight': 7.640003117733354, 'n_estimators': 212.0, 'subsample': 0.8020735932517018}
No.9, R2: 0.831530, MSE: 0.140306, MAE: 0.316555, EV: 0.831678 {'colsample_bytree': 0.652082161325706, 'gamma': 0.24396424122280141, 'learning_rate': 0.2746567966772634, 'max_depth': 2.0, 'min_child_weight': 7.639265031990388, 'n_estimators': 212.0, 'subsample': 0.7952479888529133}
No.10, R2: 0.818059, MSE: 0.151525, MAE: 0.322445, EV: 0.818128 {'colsample_bytree': 0.6464849582887527, 'gamma': 0.25099753404102654, 'learning_rate': 0.2851094157517449, 'max_depth': 2.0, 'min_child_weight': 7.640428683577325, 'n_estimators': 181.0, 'subsample': 0.8042400189829089}
No.11, R2: 0.843919, MSE: 0.129988, MAE: 0.309611, EV: 0.844194 {'colsample_bytree': 0.651040340434285, 'gamma': 0.24137607780242237, 'learning_rate': 0.2805142153378117, 'max_depth': 2.0, 'min_child_weight': 7.643938441249344, 'n_estimators': 235.0, 'subsample': 0.7953957103672578}
