No.1, R2: 0.826429, MSE: 0.144554, MAE: 0.304068, EV: 0.828881 {'colsample_bytree': 0.6503076555188909, 'gamma': 0.24735350275347942, 'learning_rate': 0.27569791900066487, 'max_depth': 3.0, 'min_child_weight': 7.631598630956225, 'n_estimators': 240.0, 'subsample': 0.8061557717425974}
No.2, R2: 0.836618, MSE: 0.136069, MAE: 0.294672, EV: 0.836618 {'colsample_bytree': 0.6475135056342337, 'gamma': 0.2563634756850772, 'learning_rate': 0.2747427649557991, 'max_depth': 3.0, 'min_child_weight': 7.648462244126306, 'n_estimators': 187.0, 'subsample': 0.7955816313824088}
No.3, R2: 0.858391, MSE: 0.117936, MAE: 0.286370, EV: 0.858409 {'colsample_bytree': 0.6472523210564908, 'gamma': 0.25839511863372655, 'learning_rate': 0.28336442479326013, 'max_depth': 2.0, 'min_child_weight': 7.649314290923849, 'n_estimators': 204.0, 'subsample': 0.8052958594964781}
No.4, R2: 0.820859, MSE: 0.149193, MAE: 0.325554, EV: 0.820860 {'colsample_bytree': 0.6457781888331932, 'gamma': 0.2526056637460181, 'learning_rate': 0.28129494809154115, 'max_depth': 2.0, 'min_child_weight': 7.646946940591332, 'n_estimators': 241.0, 'subsample': 0.7953317110527219}
No.5, R2: 0.830201, MSE: 0.141413, MAE: 0.307015, EV: 0.830263 {'colsample_bytree': 0.6532385884882408, 'gamma': 0.24460976443995047, 'learning_rate': 0.27968201474953913, 'max_depth': 3.0, 'min_child_weight': 7.649650678172399, 'n_estimators': 238.0, 'subsample': 0.7975536239049833}
No.6, R2: 0.842155, MSE: 0.131457, MAE: 0.300930, EV: 0.842601 {'colsample_bytree': 0.6521387205222429, 'gamma': 0.25510643697561963, 'learning_rate': 0.27232245382103454, 'max_depth': 2.0, 'min_child_weight': 7.64216998340591, 'n_estimators': 189.0, 'subsample': 0.8039635626069495}
No.7, R2: 0.856493, MSE: 0.119516, MAE: 0.285446, EV: 0.856493 {'colsample_bytree': 0.6451822308412323, 'gamma': 0.25896848545560053, 'learning_rate': 0.28174633411733074, 'max_depth': 2.0, 'min_child_weight': 7.634791067102096, 'n_estimators': 201.0, 'subsample': 0.8035956786752517}
No.8, R2: 0.836097, MSE: 0.136502, MAE: 0.297733, EV: 0.837357 {'colsample_bytree': 0.6497136543780396, 'gamma': 0.24088929925351718, 'learning_rate': 0.2887428256250072, 'max_depth': 1.0, 'min_child_weight': 7.637433354720731, 'n_estimators': 185.0, 'subsample': 0.8006588130210811}
No.9, R2: 0.835828, MSE: 0.136727, MAE: 0.302644, EV: 0.835891 {'colsample_bytree': 0.6539268559010746, 'gamma': 0.24560416160054235, 'learning_rate': 0.2778857692269543, 'max_depth': 2.0, 'min_child_weight': 7.637344867510469, 'n_estimators': 204.0, 'subsample': 0.8026036563054997}
No.10, R2: 0.851450, MSE: 0.123716, MAE: 0.283032, EV: 0.851474 {'colsample_bytree': 0.6540855796652193, 'gamma': 0.24907955037216967, 'learning_rate': 0.2740859041595065, 'max_depth': 3.0, 'min_child_weight': 7.634850039002832, 'n_estimators': 227.0, 'subsample': 0.8072631739808109}
No.11, R2: 0.844507, MSE: 0.129499, MAE: 0.293244, EV: 0.844510 {'colsample_bytree': 0.6536493255685957, 'gamma': 0.24441224683411622, 'learning_rate': 0.2728525847336811, 'max_depth': 3.0, 'min_child_weight': 7.63425058981769, 'n_estimators': 237.0, 'subsample': 0.8012255085870804}
