No.1, R2: 0.850767, MSE: 0.124285, MAE: 0.292757, EV: 0.850921 {'colsample_bytree': 0.653882726141572, 'gamma': 0.24910554192138126, 'learning_rate': 0.27438138175742843, 'max_depth': 2.0, 'min_child_weight': 7.630549142739882, 'n_estimators': 214.0, 'subsample': 0.7966989805735794}
No.2, R2: 0.842721, MSE: 0.130986, MAE: 0.306300, EV: 0.843366 {'colsample_bytree': 0.6461966238617792, 'gamma': 0.2432295490296437, 'learning_rate': 0.2718026325286976, 'max_depth': 2.0, 'min_child_weight': 7.649367481223391, 'n_estimators': 216.0, 'subsample': 0.7999975219412538}
No.3, R2: 0.846545, MSE: 0.127801, MAE: 0.307064, EV: 0.846950 {'colsample_bytree': 0.6484578364094977, 'gamma': 0.25779666251442507, 'learning_rate': 0.2799275581090196, 'max_depth': 2.0, 'min_child_weight': 7.638129765921478, 'n_estimators': 242.0, 'subsample': 0.8009509250703915}
No.4, R2: 0.828829, MSE: 0.142556, MAE: 0.316857, EV: 0.829225 {'colsample_bytree': 0.6463030831720136, 'gamma': 0.24635244459280958, 'learning_rate': 0.2838368359170887, 'max_depth': 2.0, 'min_child_weight': 7.64281830961748, 'n_estimators': 235.0, 'subsample': 0.8029811428231491}
No.5, R2: 0.828917, MSE: 0.142482, MAE: 0.310685, EV: 0.830565 {'colsample_bytree': 0.6478516313321131, 'gamma': 0.2515484549668845, 'learning_rate': 0.2781026531431978, 'max_depth': 1.0, 'min_child_weight': 7.636258644710412, 'n_estimators': 196.0, 'subsample': 0.8066055583729906}
No.6, R2: 0.864361, MSE: 0.112963, MAE: 0.270115, EV: 0.864530 {'colsample_bytree': 0.6516484234288539, 'gamma': 0.25512494157212584, 'learning_rate': 0.2856012131484764, 'max_depth': 3.0, 'min_child_weight': 7.634661213592785, 'n_estimators': 228.0, 'subsample': 0.8067456107239916}
No.7, R2: 0.805239, MSE: 0.162202, MAE: 0.323380, EV: 0.805245 {'colsample_bytree': 0.6537894121470333, 'gamma': 0.24174877163062394, 'learning_rate': 0.2879563934165255, 'max_depth': 3.0, 'min_child_weight': 7.643696945110393, 'n_estimators': 237.0, 'subsample': 0.8074697353474926}
No.8, R2: 0.840219, MSE: 0.133070, MAE: 0.298831, EV: 0.841067 {'colsample_bytree': 0.6458698492781396, 'gamma': 0.2519771029818299, 'learning_rate': 0.27573422168360257, 'max_depth': 1.0, 'min_child_weight': 7.643013409700037, 'n_estimators': 239.0, 'subsample': 0.7992598280528506}
No.9, R2: 0.828816, MSE: 0.142567, MAE: 0.313848, EV: 0.828818 {'colsample_bytree': 0.6503379777493971, 'gamma': 0.24325892874571176, 'learning_rate': 0.2724400730026077, 'max_depth': 2.0, 'min_child_weight': 7.646501670825662, 'n_estimators': 238.0, 'subsample': 0.8095748345501567}
No.10, R2: 0.828720, MSE: 0.142646, MAE: 0.308317, EV: 0.829995 {'colsample_bytree': 0.6515145171135853, 'gamma': 0.24094565711156227, 'learning_rate': 0.27139147534116975, 'max_depth': 1.0, 'min_child_weight': 7.634445763174408, 'n_estimators': 187.0, 'subsample': 0.805833252327763}
No.11, R2: 0.834759, MSE: 0.137617, MAE: 0.308607, EV: 0.835122 {'colsample_bytree': 0.6542205936071152, 'gamma': 0.25539408036896427, 'learning_rate': 0.2853611531140489, 'max_depth': 1.0, 'min_child_weight': 7.636478856809041, 'n_estimators': 248.0, 'subsample': 0.8097720010884789}
