No.1, R2: 0.853649, MSE: 0.121884, MAE: 0.292325, EV: 0.853650 {'colsample_bytree': 0.6502020431747834, 'gamma': 0.259123710073014, 'learning_rate': 0.27480158637273, 'max_depth': 2.0, 'min_child_weight': 7.64916760186013, 'n_estimators': 247.0, 'subsample': 0.7986102424895525}
No.2, R2: 0.833180, MSE: 0.138932, MAE: 0.303498, EV: 0.833648 {'colsample_bytree': 0.6502929732157632, 'gamma': 0.24952048709393326, 'learning_rate': 0.28021317578175836, 'max_depth': 1.0, 'min_child_weight': 7.645624129469005, 'n_estimators': 215.0, 'subsample': 0.7984965394307252}
No.3, R2: 0.845592, MSE: 0.128595, MAE: 0.292844, EV: 0.845593 {'colsample_bytree': 0.652715547865043, 'gamma': 0.25973441308291684, 'learning_rate': 0.2763704229838071, 'max_depth': 2.0, 'min_child_weight': 7.645526177629868, 'n_estimators': 184.0, 'subsample': 0.8080400529029054}
No.4, R2: 0.834749, MSE: 0.137625, MAE: 0.313620, EV: 0.834835 {'colsample_bytree': 0.648626096052046, 'gamma': 0.24677970610312094, 'learning_rate': 0.28769336595615214, 'max_depth': 2.0, 'min_child_weight': 7.640168057964061, 'n_estimators': 226.0, 'subsample': 0.8012853235075609}
No.5, R2: 0.834624, MSE: 0.137729, MAE: 0.311476, EV: 0.835587 {'colsample_bytree': 0.6508032108268073, 'gamma': 0.24239876777040056, 'learning_rate': 0.28518494666133604, 'max_depth': 3.0, 'min_child_weight': 7.6337733541383495, 'n_estimators': 182.0, 'subsample': 0.8022027368982008}
No.6, R2: 0.821704, MSE: 0.148489, MAE: 0.317721, EV: 0.822212 {'colsample_bytree': 0.6451582231975053, 'gamma': 0.24146563136356763, 'learning_rate': 0.28210147947422437, 'max_depth': 1.0, 'min_child_weight': 7.648045006849716, 'n_estimators': 204.0, 'subsample': 0.8063070777123189}
No.7, R2: 0.829215, MSE: 0.142234, MAE: 0.301130, EV: 0.829274 {'colsample_bytree': 0.6514249857843453, 'gamma': 0.2559583681343844, 'learning_rate': 0.2824434438272711, 'max_depth': 2.0, 'min_child_weight': 7.6451792906334815, 'n_estimators': 204.0, 'subsample': 0.7986425284876603}
No.8, R2: 0.829980, MSE: 0.141597, MAE: 0.317197, EV: 0.830206 {'colsample_bytree': 0.65426166417691, 'gamma': 0.24563899162232422, 'learning_rate': 0.2863601688581859, 'max_depth': 2.0, 'min_child_weight': 7.649552432687786, 'n_estimators': 173.0, 'subsample': 0.7988517175877995}
No.9, R2: 0.856602, MSE: 0.119425, MAE: 0.281704, EV: 0.856632 {'colsample_bytree': 0.6481109485060146, 'gamma': 0.2475083110583381, 'learning_rate': 0.27378681748916267, 'max_depth': 2.0, 'min_child_weight': 7.634846790338103, 'n_estimators': 215.0, 'subsample': 0.8058297187378872}
No.10, R2: 0.829936, MSE: 0.141633, MAE: 0.305652, EV: 0.829940 {'colsample_bytree': 0.6518806316341302, 'gamma': 0.2437901735159629, 'learning_rate': 0.271722168265497, 'max_depth': 3.0, 'min_child_weight': 7.632251691050504, 'n_estimators': 220.0, 'subsample': 0.8074311618037632}
No.11, R2: 0.836576, MSE: 0.136104, MAE: 0.305943, EV: 0.836747 {'colsample_bytree': 0.6548150269369944, 'gamma': 0.24978920530543564, 'learning_rate': 0.2716394681049935, 'max_depth': 1.0, 'min_child_weight': 7.63347898551124, 'n_estimators': 232.0, 'subsample': 0.7997253653345985}
No.12, R2: 0.835279, MSE: 0.137184, MAE: 0.309200, EV: 0.835651 {'colsample_bytree': 0.6517789211361203, 'gamma': 0.25159823981143176, 'learning_rate': 0.2708054215352132, 'max_depth': 2.0, 'min_child_weight': 7.644358764482246, 'n_estimators': 177.0, 'subsample': 0.808624407028858}
No.13, R2: 0.851289, MSE: 0.123850, MAE: 0.280884, EV: 0.851495 {'colsample_bytree': 0.6539758147332716, 'gamma': 0.25869027965422775, 'learning_rate': 0.28025575043488643, 'max_depth': 2.0, 'min_child_weight': 7.649413579011734, 'n_estimators': 216.0, 'subsample': 0.7974214222023611}
No.14, R2: 0.840442, MSE: 0.132884, MAE: 0.296975, EV: 0.840453 {'colsample_bytree': 0.6457684239212254, 'gamma': 0.25989181935434524, 'learning_rate': 0.287763929425015, 'max_depth': 3.0, 'min_child_weight': 7.648373254155434, 'n_estimators': 233.0, 'subsample': 0.7993213044798582}
No.15, R2: 0.844702, MSE: 0.129336, MAE: 0.299334, EV: 0.844703 {'colsample_bytree': 0.6530188419919812, 'gamma': 0.2472128445927657, 'learning_rate': 0.2734484787946465, 'max_depth': 3.0, 'min_child_weight': 7.634126666516312, 'n_estimators': 224.0, 'subsample': 0.8042351982340115}
No.16, R2: 0.826872, MSE: 0.144185, MAE: 0.314896, EV: 0.826927 {'colsample_bytree': 0.6489899439865534, 'gamma': 0.2441523049108224, 'learning_rate': 0.27536121274195857, 'max_depth': 2.0, 'min_child_weight': 7.630518625473129, 'n_estimators': 246.0, 'subsample': 0.8096286350636266}
No.17, R2: 0.813807, MSE: 0.155067, MAE: 0.310629, EV: 0.814335 {'colsample_bytree': 0.646000248151407, 'gamma': 0.24581430816753064, 'learning_rate': 0.28436463108229987, 'max_depth': 3.0, 'min_child_weight': 7.649111574097495, 'n_estimators': 183.0, 'subsample': 0.7962345346786828}
No.18, R2: 0.844872, MSE: 0.129195, MAE: 0.293700, EV: 0.844938 {'colsample_bytree': 0.6500873190237308, 'gamma': 0.25670692213699936, 'learning_rate': 0.27924403784526586, 'max_depth': 2.0, 'min_child_weight': 7.646806686461596, 'n_estimators': 244.0, 'subsample': 0.8038444198046277}
No.19, R2: 0.830729, MSE: 0.140973, MAE: 0.308072, EV: 0.831495 {'colsample_bytree': 0.6507334338285177, 'gamma': 0.24925942554688574, 'learning_rate': 0.272882047880963, 'max_depth': 1.0, 'min_child_weight': 7.63207756976143, 'n_estimators': 181.0, 'subsample': 0.8052502774508762}
No.20, R2: 0.837105, MSE: 0.135663, MAE: 0.303907, EV: 0.837920 {'colsample_bytree': 0.6503832058240094, 'gamma': 0.2476929459830971, 'learning_rate': 0.2727498927495172, 'max_depth': 1.0, 'min_child_weight': 7.631921836245416, 'n_estimators': 216.0, 'subsample': 0.8067810001249514}
