No.1, R2: 0.848056, MSE: 0.126543, MAE: 0.290738, EV: 0.848261 {'colsample_bytree': 0.6462912776733215, 'gamma': 0.24575023710741786, 'learning_rate': 0.28339461365959406, 'max_depth': 3.0, 'min_child_weight': 7.6446535755108185, 'n_estimators': 235.0, 'subsample': 0.8093369428699424}
No.2, R2: 0.840241, MSE: 0.133052, MAE: 0.301836, EV: 0.840757 {'colsample_bytree': 0.6488325566484291, 'gamma': 0.25667108222755863, 'learning_rate': 0.27370437262713715, 'max_depth': 1.0, 'min_child_weight': 7.644748480449967, 'n_estimators': 181.0, 'subsample': 0.7986616895494973}
No.3, R2: 0.825704, MSE: 0.145158, MAE: 0.323446, EV: 0.825898 {'colsample_bytree': 0.6496406624756065, 'gamma': 0.24793339901945377, 'learning_rate': 0.272748140394298, 'max_depth': 2.0, 'min_child_weight': 7.635241745346817, 'n_estimators': 226.0, 'subsample': 0.8059541488676268}
No.4, R2: 0.862889, MSE: 0.114189, MAE: 0.278548, EV: 0.862958 {'colsample_bytree': 0.6482485842583435, 'gamma': 0.2410019429064377, 'learning_rate': 0.28817716770713664, 'max_depth': 3.0, 'min_child_weight': 7.641102746848088, 'n_estimators': 240.0, 'subsample': 0.807159422897678}
No.5, R2: 0.834853, MSE: 0.137538, MAE: 0.299057, EV: 0.835308 {'colsample_bytree': 0.6471551791156893, 'gamma': 0.24192226804837422, 'learning_rate': 0.2709883879371818, 'max_depth': 2.0, 'min_child_weight': 7.643214402047917, 'n_estimators': 238.0, 'subsample': 0.8056118751855008}
No.6, R2: 0.833544, MSE: 0.138629, MAE: 0.301206, EV: 0.834607 {'colsample_bytree': 0.6456018880747504, 'gamma': 0.25396867501093273, 'learning_rate': 0.27335851035066305, 'max_depth': 1.0, 'min_child_weight': 7.6473788886825815, 'n_estimators': 186.0, 'subsample': 0.8004693499708682}
No.7, R2: 0.863325, MSE: 0.113826, MAE: 0.278436, EV: 0.863330 {'colsample_bytree': 0.6547415572952744, 'gamma': 0.2561352936249777, 'learning_rate': 0.28115281060119784, 'max_depth': 2.0, 'min_child_weight': 7.648931299548984, 'n_estimators': 201.0, 'subsample': 0.8044827890465093}
No.8, R2: 0.842023, MSE: 0.131568, MAE: 0.299661, EV: 0.842217 {'colsample_bytree': 0.6477139561840232, 'gamma': 0.24983839677070485, 'learning_rate': 0.2840100315051417, 'max_depth': 1.0, 'min_child_weight': 7.645567534966085, 'n_estimators': 206.0, 'subsample': 0.8084412160497252}
No.9, R2: 0.827605, MSE: 0.143575, MAE: 0.306448, EV: 0.827741 {'colsample_bytree': 0.651491164252862, 'gamma': 0.25285756137589416, 'learning_rate': 0.27584263701222067, 'max_depth': 3.0, 'min_child_weight': 7.634697357012375, 'n_estimators': 222.0, 'subsample': 0.7989262681338628}
No.10, R2: 0.829922, MSE: 0.141645, MAE: 0.306142, EV: 0.830471 {'colsample_bytree': 0.6532665323732971, 'gamma': 0.24392975714519793, 'learning_rate': 0.2700669097523198, 'max_depth': 1.0, 'min_child_weight': 7.6428635156790365, 'n_estimators': 198.0, 'subsample': 0.796184353393844}
No.11, R2: 0.832006, MSE: 0.139909, MAE: 0.307279, EV: 0.832540 {'colsample_bytree': 0.6457377936903624, 'gamma': 0.2590009232042904, 'learning_rate': 0.27201155029568813, 'max_depth': 1.0, 'min_child_weight': 7.632424563671734, 'n_estimators': 210.0, 'subsample': 0.8099687842917028}
