No.1, R2: 0.835705, MSE: 0.136829, MAE: 0.304032, EV: 0.835915 {'colsample_bytree': 0.6533657038835595, 'gamma': 0.24659318259114538, 'learning_rate': 0.27286903235277826, 'max_depth': 3.0, 'min_child_weight': 7.642305749945591, 'n_estimators': 197.0, 'subsample': 0.797602395133201}
No.2, R2: 0.845478, MSE: 0.128690, MAE: 0.295610, EV: 0.845483 {'colsample_bytree': 0.6456011742011514, 'gamma': 0.25648120985387285, 'learning_rate': 0.28527851168895585, 'max_depth': 2.0, 'min_child_weight': 7.6367093779063735, 'n_estimators': 172.0, 'subsample': 0.7968492993048029}
No.3, R2: 0.822271, MSE: 0.148017, MAE: 0.309188, EV: 0.822297 {'colsample_bytree': 0.6516519633240209, 'gamma': 0.24032673093175733, 'learning_rate': 0.2737828748491994, 'max_depth': 3.0, 'min_child_weight': 7.633674237232875, 'n_estimators': 233.0, 'subsample': 0.8001901093749901}
No.4, R2: 0.826471, MSE: 0.144519, MAE: 0.313772, EV: 0.827267 {'colsample_bytree': 0.6460946202486745, 'gamma': 0.24048247655791022, 'learning_rate': 0.27690769270012394, 'max_depth': 1.0, 'min_child_weight': 7.64377494547825, 'n_estimators': 241.0, 'subsample': 0.7960694245347378}
No.5, R2: 0.828723, MSE: 0.142644, MAE: 0.307714, EV: 0.828822 {'colsample_bytree': 0.6484722242073448, 'gamma': 0.24365427988173166, 'learning_rate': 0.27448893159543775, 'max_depth': 3.0, 'min_child_weight': 7.630080886364935, 'n_estimators': 239.0, 'subsample': 0.7984925292524458}
No.6, R2: 0.824126, MSE: 0.146472, MAE: 0.312376, EV: 0.824207 {'colsample_bytree': 0.6487705196629777, 'gamma': 0.24120751409765842, 'learning_rate': 0.27835918086379674, 'max_depth': 3.0, 'min_child_weight': 7.6384001439910625, 'n_estimators': 186.0, 'subsample': 0.8060318478678451}
No.7, R2: 0.839459, MSE: 0.133703, MAE: 0.307619, EV: 0.840441 {'colsample_bytree': 0.6474016430384315, 'gamma': 0.25366993363120016, 'learning_rate': 0.27131523742568936, 'max_depth': 2.0, 'min_child_weight': 7.630698812544751, 'n_estimators': 238.0, 'subsample': 0.8049026560061326}
No.8, R2: 0.843867, MSE: 0.130032, MAE: 0.305509, EV: 0.844091 {'colsample_bytree': 0.6492621918260014, 'gamma': 0.2419441240102015, 'learning_rate': 0.2732337517094199, 'max_depth': 2.0, 'min_child_weight': 7.637870088638772, 'n_estimators': 178.0, 'subsample': 0.8048372114562924}
No.9, R2: 0.838219, MSE: 0.134735, MAE: 0.304811, EV: 0.838351 {'colsample_bytree': 0.6525667801019736, 'gamma': 0.25214437532816236, 'learning_rate': 0.28022590955507587, 'max_depth': 2.0, 'min_child_weight': 7.6332876999527235, 'n_estimators': 217.0, 'subsample': 0.8071022420628139}
No.10, R2: 0.852069, MSE: 0.123200, MAE: 0.288574, EV: 0.852223 {'colsample_bytree': 0.6473858390261573, 'gamma': 0.25423699751200746, 'learning_rate': 0.27587157079759955, 'max_depth': 2.0, 'min_child_weight': 7.630614211150097, 'n_estimators': 232.0, 'subsample': 0.8018219354747007}
No.11, R2: 0.849514, MSE: 0.125329, MAE: 0.296357, EV: 0.849951 {'colsample_bytree': 0.6486877646309517, 'gamma': 0.24250154922245687, 'learning_rate': 0.2768082360409457, 'max_depth': 2.0, 'min_child_weight': 7.641768744208317, 'n_estimators': 183.0, 'subsample': 0.7964248774800976}
No.12, R2: 0.829613, MSE: 0.141903, MAE: 0.309205, EV: 0.830144 {'colsample_bytree': 0.6502545333316383, 'gamma': 0.2492683625839328, 'learning_rate': 0.2738481024718271, 'max_depth': 1.0, 'min_child_weight': 7.636517916246383, 'n_estimators': 197.0, 'subsample': 0.7950338335680064}
No.13, R2: 0.849463, MSE: 0.125371, MAE: 0.299172, EV: 0.849544 {'colsample_bytree': 0.6483225287542124, 'gamma': 0.2530557215814615, 'learning_rate': 0.28163899058697434, 'max_depth': 3.0, 'min_child_weight': 7.6400478427432645, 'n_estimators': 173.0, 'subsample': 0.8069267709632164}
No.14, R2: 0.823863, MSE: 0.146691, MAE: 0.318351, EV: 0.824085 {'colsample_bytree': 0.6479240668694444, 'gamma': 0.2553982666541732, 'learning_rate': 0.284559214687347, 'max_depth': 2.0, 'min_child_weight': 7.640894261961709, 'n_estimators': 172.0, 'subsample': 0.7956783488290649}
No.15, R2: 0.826341, MSE: 0.144627, MAE: 0.316193, EV: 0.826381 {'colsample_bytree': 0.6499319149430896, 'gamma': 0.24577507830470957, 'learning_rate': 0.27101014408964985, 'max_depth': 3.0, 'min_child_weight': 7.640584281313759, 'n_estimators': 175.0, 'subsample': 0.8004095917823624}
No.16, R2: 0.859932, MSE: 0.116652, MAE: 0.277718, EV: 0.859969 {'colsample_bytree': 0.6468072370242722, 'gamma': 0.2415503535629148, 'learning_rate': 0.27003547377889464, 'max_depth': 3.0, 'min_child_weight': 7.631809837885626, 'n_estimators': 186.0, 'subsample': 0.8099554009916581}
No.17, R2: 0.843768, MSE: 0.130114, MAE: 0.304959, EV: 0.844567 {'colsample_bytree': 0.651739007543353, 'gamma': 0.24431484092794714, 'learning_rate': 0.28965082475910936, 'max_depth': 2.0, 'min_child_weight': 7.631611375080913, 'n_estimators': 194.0, 'subsample': 0.8044828685236407}
No.18, R2: 0.847312, MSE: 0.127162, MAE: 0.292550, EV: 0.847896 {'colsample_bytree': 0.6478295721645745, 'gamma': 0.2427502535344139, 'learning_rate': 0.28381297150407964, 'max_depth': 1.0, 'min_child_weight': 7.633289521827448, 'n_estimators': 208.0, 'subsample': 0.8013377096243398}
No.19, R2: 0.861064, MSE: 0.115709, MAE: 0.275695, EV: 0.861198 {'colsample_bytree': 0.6533776833698858, 'gamma': 0.2544104255429002, 'learning_rate': 0.28151252895592027, 'max_depth': 2.0, 'min_child_weight': 7.647800787648708, 'n_estimators': 219.0, 'subsample': 0.8031225071071586}
No.20, R2: 0.851288, MSE: 0.123851, MAE: 0.285763, EV: 0.851317 {'colsample_bytree': 0.6503615478949678, 'gamma': 0.257429089976275, 'learning_rate': 0.27389651881700783, 'max_depth': 2.0, 'min_child_weight': 7.636410394108603, 'n_estimators': 181.0, 'subsample': 0.8064160126631218}
No.21, R2: 0.830404, MSE: 0.141244, MAE: 0.316137, EV: 0.830592 {'colsample_bytree': 0.6548666530329147, 'gamma': 0.2598503833213313, 'learning_rate': 0.2877672078344214, 'max_depth': 1.0, 'min_child_weight': 7.649547805190053, 'n_estimators': 222.0, 'subsample': 0.8090588363981734}
No.22, R2: 0.846510, MSE: 0.127830, MAE: 0.291793, EV: 0.846608 {'colsample_bytree': 0.6539887066780276, 'gamma': 0.25025265971251565, 'learning_rate': 0.2820909935689086, 'max_depth': 3.0, 'min_child_weight': 7.645880275965858, 'n_estimators': 207.0, 'subsample': 0.8099597643997632}
No.23, R2: 0.845618, MSE: 0.128573, MAE: 0.290287, EV: 0.846471 {'colsample_bytree': 0.6464831706355814, 'gamma': 0.25860078295708505, 'learning_rate': 0.2793380214091489, 'max_depth': 1.0, 'min_child_weight': 7.649859749911807, 'n_estimators': 218.0, 'subsample': 0.8085756984904884}
No.24, R2: 0.856708, MSE: 0.119337, MAE: 0.283925, EV: 0.857947 {'colsample_bytree': 0.6546598643158501, 'gamma': 0.24907949410595537, 'learning_rate': 0.28661311493326186, 'max_depth': 3.0, 'min_child_weight': 7.647497326973914, 'n_estimators': 250.0, 'subsample': 0.8037304863867069}
No.25, R2: 0.825933, MSE: 0.144967, MAE: 0.312383, EV: 0.826407 {'colsample_bytree': 0.6513899718683362, 'gamma': 0.25180704265708215, 'learning_rate': 0.28257141166519273, 'max_depth': 1.0, 'min_child_weight': 7.644909087840261, 'n_estimators': 203.0, 'subsample': 0.802882331891778}
No.26, R2: 0.830684, MSE: 0.141010, MAE: 0.314095, EV: 0.830715 {'colsample_bytree': 0.6450834872240487, 'gamma': 0.24735330621621537, 'learning_rate': 0.2898821212419166, 'max_depth': 3.0, 'min_child_weight': 7.647874813735998, 'n_estimators': 190.0, 'subsample': 0.7990872790473252}
No.27, R2: 0.833382, MSE: 0.138764, MAE: 0.315349, EV: 0.833858 {'colsample_bytree': 0.6529146991143646, 'gamma': 0.2505266123502449, 'learning_rate': 0.2807654729679303, 'max_depth': 3.0, 'min_child_weight': 7.63499056346584, 'n_estimators': 222.0, 'subsample': 0.808419299139113}
No.28, R2: 0.842600, MSE: 0.131086, MAE: 0.296362, EV: 0.842930 {'colsample_bytree': 0.646654401844116, 'gamma': 0.25565518186610103, 'learning_rate': 0.2784876810654477, 'max_depth': 1.0, 'min_child_weight': 7.643394785082241, 'n_estimators': 212.0, 'subsample': 0.8079440439178882}
No.29, R2: 0.830773, MSE: 0.140937, MAE: 0.302700, EV: 0.830837 {'colsample_bytree': 0.6540847348964939, 'gamma': 0.2599705947478034, 'learning_rate': 0.2700827412334703, 'max_depth': 3.0, 'min_child_weight': 7.648217539749999, 'n_estimators': 201.0, 'subsample': 0.8098170633788069}
No.30, R2: 0.841664, MSE: 0.131866, MAE: 0.302229, EV: 0.841681 {'colsample_bytree': 0.6508592810397233, 'gamma': 0.24743548221327624, 'learning_rate': 0.2835279950056989, 'max_depth': 2.0, 'min_child_weight': 7.6386526605132365, 'n_estimators': 228.0, 'subsample': 0.8032642947417418}
No.31, R2: 0.825798, MSE: 0.145080, MAE: 0.312722, EV: 0.826065 {'colsample_bytree': 0.6524170651825706, 'gamma': 0.25772333456796953, 'learning_rate': 0.2866507406238644, 'max_depth': 3.0, 'min_child_weight': 7.645735825038396, 'n_estimators': 213.0, 'subsample': 0.7976810631629396}
No.32, R2: 0.847422, MSE: 0.127071, MAE: 0.297053, EV: 0.847430 {'colsample_bytree': 0.6450721499379818, 'gamma': 0.24566880135048086, 'learning_rate': 0.2753188921066839, 'max_depth': 2.0, 'min_child_weight': 7.631947101126448, 'n_estimators': 246.0, 'subsample': 0.8057675744745659}
No.33, R2: 0.847302, MSE: 0.127170, MAE: 0.292600, EV: 0.847609 {'colsample_bytree': 0.653139241135939, 'gamma': 0.25482955555514736, 'learning_rate': 0.271841451221519, 'max_depth': 1.0, 'min_child_weight': 7.642861774800388, 'n_estimators': 190.0, 'subsample': 0.8019237271889909}
No.34, R2: 0.830561, MSE: 0.141113, MAE: 0.307401, EV: 0.830576 {'colsample_bytree': 0.6456648697406258, 'gamma': 0.2518783416020092, 'learning_rate': 0.27799798004816645, 'max_depth': 3.0, 'min_child_weight': 7.635052465924928, 'n_estimators': 202.0, 'subsample': 0.800388770612183}
No.35, R2: 0.850567, MSE: 0.124451, MAE: 0.292754, EV: 0.851130 {'colsample_bytree': 0.6494927244820672, 'gamma': 0.2560584694221449, 'learning_rate': 0.28589272642320845, 'max_depth': 2.0, 'min_child_weight': 7.641660632516221, 'n_estimators': 226.0, 'subsample': 0.797875243011081}
No.36, R2: 0.822916, MSE: 0.147480, MAE: 0.305880, EV: 0.823093 {'colsample_bytree': 0.653777238942255, 'gamma': 0.24029688883710829, 'learning_rate': 0.28090940923615143, 'max_depth': 3.0, 'min_child_weight': 7.64458283306321, 'n_estimators': 197.0, 'subsample': 0.7992441869549028}
No.37, R2: 0.840771, MSE: 0.132610, MAE: 0.297606, EV: 0.841402 {'colsample_bytree': 0.6520171331796808, 'gamma': 0.2482486497625862, 'learning_rate': 0.272382155134089, 'max_depth': 1.0, 'min_child_weight': 7.6467056339132515, 'n_estimators': 232.0, 'subsample': 0.803983201759753}
No.38, R2: 0.852862, MSE: 0.122540, MAE: 0.282828, EV: 0.854731 {'colsample_bytree': 0.6508589324315955, 'gamma': 0.24446490487998623, 'learning_rate': 0.2881867741006175, 'max_depth': 3.0, 'min_child_weight': 7.634875857544974, 'n_estimators': 188.0, 'subsample': 0.8055451409945721}
No.39, R2: 0.834856, MSE: 0.137536, MAE: 0.304680, EV: 0.834911 {'colsample_bytree': 0.6458769328997508, 'gamma': 0.2533396164887174, 'learning_rate': 0.2793012357521536, 'max_depth': 2.0, 'min_child_weight': 7.649122647437239, 'n_estimators': 215.0, 'subsample': 0.8074711301993281}
