No.1, R2: 0.845218, MSE: 0.128907, MAE: 0.292859, EV: 0.845380 {'colsample_bytree': 0.6513214855716363, 'gamma': 0.24319086853040212, 'learning_rate': 0.27025753741029523, 'max_depth': 2.0, 'min_child_weight': 7.640666326073522, 'n_estimators': 242.0, 'subsample': 0.8090656812037564}
No.2, R2: 0.841471, MSE: 0.132027, MAE: 0.290659, EV: 0.841472 {'colsample_bytree': 0.6546520603804816, 'gamma': 0.2470022599732121, 'learning_rate': 0.28490961167716017, 'max_depth': 2.0, 'min_child_weight': 7.6401803630322345, 'n_estimators': 178.0, 'subsample': 0.8086345908291278}
No.3, R2: 0.828456, MSE: 0.142866, MAE: 0.303001, EV: 0.828464 {'colsample_bytree': 0.6549884250230867, 'gamma': 0.24486196328511833, 'learning_rate': 0.27362101718350473, 'max_depth': 3.0, 'min_child_weight': 7.644220231431707, 'n_estimators': 182.0, 'subsample': 0.795673645217954}
No.4, R2: 0.830080, MSE: 0.141514, MAE: 0.307308, EV: 0.830385 {'colsample_bytree': 0.6450761906190804, 'gamma': 0.2491239535904851, 'learning_rate': 0.2898708976992488, 'max_depth': 3.0, 'min_child_weight': 7.647730512348281, 'n_estimators': 243.0, 'subsample': 0.798823087150796}
No.5, R2: 0.838285, MSE: 0.134680, MAE: 0.308401, EV: 0.838407 {'colsample_bytree': 0.645873597782536, 'gamma': 0.25753416259701534, 'learning_rate': 0.2771903735743, 'max_depth': 3.0, 'min_child_weight': 7.630129586941651, 'n_estimators': 193.0, 'subsample': 0.8096384291601354}
No.6, R2: 0.844473, MSE: 0.129527, MAE: 0.293207, EV: 0.844578 {'colsample_bytree': 0.6510997054996751, 'gamma': 0.24167146290307742, 'learning_rate': 0.2814619256705431, 'max_depth': 2.0, 'min_child_weight': 7.649969603390921, 'n_estimators': 197.0, 'subsample': 0.805639341906173}
No.7, R2: 0.831070, MSE: 0.140689, MAE: 0.314283, EV: 0.831803 {'colsample_bytree': 0.6453099940050011, 'gamma': 0.24600157689758678, 'learning_rate': 0.2725139211628808, 'max_depth': 1.0, 'min_child_weight': 7.630186429302862, 'n_estimators': 213.0, 'subsample': 0.7961560649170316}
No.8, R2: 0.816287, MSE: 0.153001, MAE: 0.312317, EV: 0.816288 {'colsample_bytree': 0.6463848074433487, 'gamma': 0.2509135862415979, 'learning_rate': 0.27193999683611686, 'max_depth': 3.0, 'min_child_weight': 7.633351526396921, 'n_estimators': 236.0, 'subsample': 0.8078091691741287}
No.9, R2: 0.828625, MSE: 0.142726, MAE: 0.310450, EV: 0.828785 {'colsample_bytree': 0.6494848418318301, 'gamma': 0.25051420691827353, 'learning_rate': 0.2751177854569789, 'max_depth': 1.0, 'min_child_weight': 7.643189574258391, 'n_estimators': 247.0, 'subsample': 0.8062354551771406}
No.10, R2: 0.867305, MSE: 0.110512, MAE: 0.273348, EV: 0.867556 {'colsample_bytree': 0.6532906749549812, 'gamma': 0.2432404621927881, 'learning_rate': 0.2792746259061762, 'max_depth': 2.0, 'min_child_weight': 7.6491137545482175, 'n_estimators': 184.0, 'subsample': 0.7993500884223087}
No.11, R2: 0.860362, MSE: 0.116294, MAE: 0.281548, EV: 0.860403 {'colsample_bytree': 0.6500102296272788, 'gamma': 0.24409069802532732, 'learning_rate': 0.28823545937518674, 'max_depth': 3.0, 'min_child_weight': 7.636857802120011, 'n_estimators': 223.0, 'subsample': 0.8043398680436499}
No.12, R2: 0.824296, MSE: 0.146331, MAE: 0.317827, EV: 0.825114 {'colsample_bytree': 0.6487297383261742, 'gamma': 0.24737883650342002, 'learning_rate': 0.2877856077854936, 'max_depth': 3.0, 'min_child_weight': 7.649883153379749, 'n_estimators': 208.0, 'subsample': 0.8017944111986718}
No.13, R2: 0.863471, MSE: 0.113704, MAE: 0.287186, EV: 0.864787 {'colsample_bytree': 0.654883561328527, 'gamma': 0.2563525900626227, 'learning_rate': 0.28431734301071965, 'max_depth': 3.0, 'min_child_weight': 7.634356293207475, 'n_estimators': 246.0, 'subsample': 0.8065477763371879}
No.14, R2: 0.825395, MSE: 0.145415, MAE: 0.313560, EV: 0.825418 {'colsample_bytree': 0.647608976717976, 'gamma': 0.25951453337362695, 'learning_rate': 0.2787244336141587, 'max_depth': 2.0, 'min_child_weight': 7.632094405555119, 'n_estimators': 191.0, 'subsample': 0.795299370840289}
No.15, R2: 0.833779, MSE: 0.138433, MAE: 0.298616, EV: 0.834191 {'colsample_bytree': 0.6496349273207811, 'gamma': 0.25814509862339474, 'learning_rate': 0.2749765911621147, 'max_depth': 2.0, 'min_child_weight': 7.64728895537118, 'n_estimators': 194.0, 'subsample': 0.8069520793981125}
No.16, R2: 0.816673, MSE: 0.152680, MAE: 0.313750, EV: 0.816800 {'colsample_bytree': 0.6549118724398867, 'gamma': 0.24738503345366192, 'learning_rate': 0.28863362895820505, 'max_depth': 3.0, 'min_child_weight': 7.64917425169992, 'n_estimators': 244.0, 'subsample': 0.7958153822115035}
No.17, R2: 0.811804, MSE: 0.156735, MAE: 0.320427, EV: 0.812189 {'colsample_bytree': 0.6517228644563358, 'gamma': 0.24108734386521588, 'learning_rate': 0.2893853684629483, 'max_depth': 3.0, 'min_child_weight': 7.633900449364018, 'n_estimators': 210.0, 'subsample': 0.7977834261627378}
No.18, R2: 0.827223, MSE: 0.143893, MAE: 0.310442, EV: 0.827595 {'colsample_bytree': 0.6458576434826725, 'gamma': 0.2413060445730706, 'learning_rate': 0.2770313340049394, 'max_depth': 2.0, 'min_child_weight': 7.641762160075544, 'n_estimators': 182.0, 'subsample': 0.7955760763869434}
