No.1, R2: 0.865415, MSE: 0.112085, MAE: 0.283169, EV: 0.865430 {'colsample_bytree': 0.6497481963657079, 'gamma': 0.24473393450479553, 'learning_rate': 0.27969293199314643, 'max_depth': 2.0, 'min_child_weight': 7.641717106100796, 'n_estimators': 245.0, 'subsample': 0.7993744673028411}
No.2, R2: 0.816217, MSE: 0.153059, MAE: 0.314979, EV: 0.816346 {'colsample_bytree': 0.6518679115485554, 'gamma': 0.2551392614821943, 'learning_rate': 0.27236688865131087, 'max_depth': 3.0, 'min_child_weight': 7.638408707140798, 'n_estimators': 197.0, 'subsample': 0.8020049076471887}
No.3, R2: 0.817371, MSE: 0.152098, MAE: 0.328596, EV: 0.817469 {'colsample_bytree': 0.6507057730221086, 'gamma': 0.253061599462029, 'learning_rate': 0.28998332415544503, 'max_depth': 2.0, 'min_child_weight': 7.645470836877009, 'n_estimators': 181.0, 'subsample': 0.8035720118449629}
No.4, R2: 0.850425, MSE: 0.124570, MAE: 0.291051, EV: 0.850718 {'colsample_bytree': 0.6498088015713875, 'gamma': 0.24995966171909179, 'learning_rate': 0.2700669906644114, 'max_depth': 2.0, 'min_child_weight': 7.642650648059087, 'n_estimators': 197.0, 'subsample': 0.8013098464342264}
No.5, R2: 0.859230, MSE: 0.117237, MAE: 0.285505, EV: 0.859307 {'colsample_bytree': 0.6470983701538454, 'gamma': 0.24287377889688352, 'learning_rate': 0.280582112527101, 'max_depth': 2.0, 'min_child_weight': 7.6497931501345, 'n_estimators': 207.0, 'subsample': 0.800339656223542}
No.6, R2: 0.843159, MSE: 0.130621, MAE: 0.300067, EV: 0.843586 {'colsample_bytree': 0.6457073587402162, 'gamma': 0.2515665031077563, 'learning_rate': 0.27746949048841174, 'max_depth': 2.0, 'min_child_weight': 7.634001753475128, 'n_estimators': 191.0, 'subsample': 0.8062578625645489}
No.7, R2: 0.825889, MSE: 0.145004, MAE: 0.302684, EV: 0.825926 {'colsample_bytree': 0.645512730822298, 'gamma': 0.24364902822505713, 'learning_rate': 0.2794536888799487, 'max_depth': 3.0, 'min_child_weight': 7.648432677910718, 'n_estimators': 190.0, 'subsample': 0.7952790502096984}
No.8, R2: 0.841118, MSE: 0.132320, MAE: 0.295813, EV: 0.841997 {'colsample_bytree': 0.6502147359691185, 'gamma': 0.24459338972674297, 'learning_rate': 0.281341117359038, 'max_depth': 1.0, 'min_child_weight': 7.6315553238142595, 'n_estimators': 179.0, 'subsample': 0.7978837284394026}
No.9, R2: 0.828941, MSE: 0.142462, MAE: 0.307998, EV: 0.829823 {'colsample_bytree': 0.6528121345040624, 'gamma': 0.2586015340481171, 'learning_rate': 0.27500601378808165, 'max_depth': 1.0, 'min_child_weight': 7.6433758314010625, 'n_estimators': 171.0, 'subsample': 0.7979806380003315}
No.10, R2: 0.844445, MSE: 0.129550, MAE: 0.295882, EV: 0.844804 {'colsample_bytree': 0.6529586507607981, 'gamma': 0.2551782249617239, 'learning_rate': 0.2730380888929924, 'max_depth': 1.0, 'min_child_weight': 7.647487221312605, 'n_estimators': 233.0, 'subsample': 0.808999494499149}
No.11, R2: 0.834997, MSE: 0.137419, MAE: 0.298116, EV: 0.835176 {'colsample_bytree': 0.646137322431974, 'gamma': 0.24418964203598945, 'learning_rate': 0.2741587047756954, 'max_depth': 3.0, 'min_child_weight': 7.645475931385078, 'n_estimators': 242.0, 'subsample': 0.7953983529264749}
No.12, R2: 0.866055, MSE: 0.111552, MAE: 0.274443, EV: 0.866114 {'colsample_bytree': 0.6547759819540201, 'gamma': 0.24296656217670348, 'learning_rate': 0.27744600448115114, 'max_depth': 2.0, 'min_child_weight': 7.631851048294274, 'n_estimators': 176.0, 'subsample': 0.7991538985656973}
No.13, R2: 0.821040, MSE: 0.149043, MAE: 0.324029, EV: 0.821040 {'colsample_bytree': 0.6466600720731516, 'gamma': 0.24819788575948182, 'learning_rate': 0.2843662072138883, 'max_depth': 2.0, 'min_child_weight': 7.6455328105668725, 'n_estimators': 240.0, 'subsample': 0.7959611027856021}
No.14, R2: 0.855066, MSE: 0.120705, MAE: 0.283483, EV: 0.855431 {'colsample_bytree': 0.6474092810672836, 'gamma': 0.24888332632728347, 'learning_rate': 0.28190608646627985, 'max_depth': 2.0, 'min_child_weight': 7.631750726991062, 'n_estimators': 239.0, 'subsample': 0.8026704092096455}
No.15, R2: 0.847158, MSE: 0.127291, MAE: 0.299152, EV: 0.847258 {'colsample_bytree': 0.6503055559714207, 'gamma': 0.2553800273312626, 'learning_rate': 0.27873743633623477, 'max_depth': 2.0, 'min_child_weight': 7.643752718934393, 'n_estimators': 202.0, 'subsample': 0.8094360042130022}
No.16, R2: 0.814512, MSE: 0.154479, MAE: 0.324163, EV: 0.814713 {'colsample_bytree': 0.654117212527301, 'gamma': 0.25203996802734413, 'learning_rate': 0.2842248638369707, 'max_depth': 2.0, 'min_child_weight': 7.647248164787897, 'n_estimators': 181.0, 'subsample': 0.8015806829335976}
No.17, R2: 0.842281, MSE: 0.131352, MAE: 0.296402, EV: 0.843578 {'colsample_bytree': 0.6482527353816825, 'gamma': 0.25100437700567163, 'learning_rate': 0.2742877497256388, 'max_depth': 1.0, 'min_child_weight': 7.633274804138143, 'n_estimators': 173.0, 'subsample': 0.8013721019535051}
No.18, R2: 0.850212, MSE: 0.124747, MAE: 0.294660, EV: 0.850298 {'colsample_bytree': 0.6530679371766132, 'gamma': 0.2452218415903406, 'learning_rate': 0.2795587931367914, 'max_depth': 2.0, 'min_child_weight': 7.633176108485605, 'n_estimators': 236.0, 'subsample': 0.8018067674798057}
No.19, R2: 0.838948, MSE: 0.134128, MAE: 0.297607, EV: 0.839835 {'colsample_bytree': 0.6466586477884139, 'gamma': 0.25067435684743544, 'learning_rate': 0.27984574363814496, 'max_depth': 1.0, 'min_child_weight': 7.646500877626431, 'n_estimators': 218.0, 'subsample': 0.7992443579359828}
