No.1, R2: 0.855114, MSE: 0.120665, MAE: 0.285635, EV: 0.856726 {'colsample_bytree': 0.647372019272746, 'gamma': 0.2449545988815449, 'learning_rate': 0.289605708463116, 'max_depth': 3.0, 'min_child_weight': 7.642072435826411, 'n_estimators': 220.0, 'subsample': 0.8044822611015364}
No.2, R2: 0.848029, MSE: 0.126566, MAE: 0.295949, EV: 0.848077 {'colsample_bytree': 0.6459428758327094, 'gamma': 0.2430791046761455, 'learning_rate': 0.27542457303121193, 'max_depth': 2.0, 'min_child_weight': 7.631488222128036, 'n_estimators': 209.0, 'subsample': 0.8020047774895818}
No.3, R2: 0.826008, MSE: 0.144905, MAE: 0.314718, EV: 0.826636 {'colsample_bytree': 0.647561247905966, 'gamma': 0.24093017823911594, 'learning_rate': 0.28836035319051084, 'max_depth': 1.0, 'min_child_weight': 7.637345144092652, 'n_estimators': 223.0, 'subsample': 0.7977854360766968}
No.4, R2: 0.841548, MSE: 0.131963, MAE: 0.297629, EV: 0.842141 {'colsample_bytree': 0.6541759012175302, 'gamma': 0.24237954960860914, 'learning_rate': 0.27277232604848967, 'max_depth': 2.0, 'min_child_weight': 7.64487282929821, 'n_estimators': 242.0, 'subsample': 0.7958302170738741}
No.5, R2: 0.825526, MSE: 0.145306, MAE: 0.313904, EV: 0.825959 {'colsample_bytree': 0.6465912308057463, 'gamma': 0.2480494908928434, 'learning_rate': 0.28880496165227004, 'max_depth': 1.0, 'min_child_weight': 7.645769034194612, 'n_estimators': 211.0, 'subsample': 0.8091603348526508}
No.6, R2: 0.825580, MSE: 0.145262, MAE: 0.315740, EV: 0.825592 {'colsample_bytree': 0.6498937384124632, 'gamma': 0.2519236122015079, 'learning_rate': 0.27435450831591657, 'max_depth': 3.0, 'min_child_weight': 7.642835464870138, 'n_estimators': 247.0, 'subsample': 0.8025676035128115}
No.7, R2: 0.817990, MSE: 0.151583, MAE: 0.305334, EV: 0.817999 {'colsample_bytree': 0.6514207660874659, 'gamma': 0.2514971286382434, 'learning_rate': 0.2748310518386575, 'max_depth': 3.0, 'min_child_weight': 7.631525117081147, 'n_estimators': 228.0, 'subsample': 0.798355987772199}
No.8, R2: 0.828847, MSE: 0.142541, MAE: 0.305275, EV: 0.828859 {'colsample_bytree': 0.6542576569567533, 'gamma': 0.2571486651847921, 'learning_rate': 0.2871026285780968, 'max_depth': 2.0, 'min_child_weight': 7.645364671271221, 'n_estimators': 226.0, 'subsample': 0.7978871500919499}
No.9, R2: 0.835588, MSE: 0.136926, MAE: 0.305059, EV: 0.835782 {'colsample_bytree': 0.6462198722526594, 'gamma': 0.2445522872049142, 'learning_rate': 0.2749256899430335, 'max_depth': 2.0, 'min_child_weight': 7.641916981386569, 'n_estimators': 177.0, 'subsample': 0.8081633123095354}
No.10, R2: 0.846114, MSE: 0.128160, MAE: 0.292205, EV: 0.846369 {'colsample_bytree': 0.6495134472550127, 'gamma': 0.2550218810035981, 'learning_rate': 0.2835056537626541, 'max_depth': 2.0, 'min_child_weight': 7.644394482268886, 'n_estimators': 207.0, 'subsample': 0.808377887785722}
No.11, R2: 0.831973, MSE: 0.139937, MAE: 0.298531, EV: 0.832810 {'colsample_bytree': 0.649732673683694, 'gamma': 0.2409652528177141, 'learning_rate': 0.283021991819099, 'max_depth': 1.0, 'min_child_weight': 7.6430085963824785, 'n_estimators': 185.0, 'subsample': 0.8014157519331361}
