No.1, R2: 0.861103, MSE: 0.115677, MAE: 0.284667, EV: 0.862738 {'colsample_bytree': 0.6531562809315226, 'gamma': 0.25707063058044166, 'learning_rate': 0.2828479427874405, 'max_depth': 3.0, 'min_child_weight': 7.647541386779581, 'n_estimators': 246.0, 'subsample': 0.8062097850815484}
No.2, R2: 0.837446, MSE: 0.135379, MAE: 0.301568, EV: 0.838268 {'colsample_bytree': 0.652477247533678, 'gamma': 0.24402811839168834, 'learning_rate': 0.27918063353477013, 'max_depth': 1.0, 'min_child_weight': 7.638911326567356, 'n_estimators': 213.0, 'subsample': 0.7991684435952475}
No.3, R2: 0.811806, MSE: 0.156733, MAE: 0.333644, EV: 0.811826 {'colsample_bytree': 0.6494167871005061, 'gamma': 0.24982929226863748, 'learning_rate': 0.28681693438299033, 'max_depth': 2.0, 'min_child_weight': 7.644607634572388, 'n_estimators': 222.0, 'subsample': 0.799325774053455}
No.4, R2: 0.830067, MSE: 0.141524, MAE: 0.311144, EV: 0.830068 {'colsample_bytree': 0.6491727059081636, 'gamma': 0.2581520779108362, 'learning_rate': 0.28003202560265855, 'max_depth': 3.0, 'min_child_weight': 7.6313818708633345, 'n_estimators': 204.0, 'subsample': 0.8077389133241651}
No.5, R2: 0.835363, MSE: 0.137114, MAE: 0.305760, EV: 0.835837 {'colsample_bytree': 0.6465823891323343, 'gamma': 0.2535181971700208, 'learning_rate': 0.2782820837644475, 'max_depth': 1.0, 'min_child_weight': 7.645553364590387, 'n_estimators': 236.0, 'subsample': 0.8020583770692695}
No.6, R2: 0.843948, MSE: 0.129964, MAE: 0.299837, EV: 0.844225 {'colsample_bytree': 0.6516490865487347, 'gamma': 0.2540637491628292, 'learning_rate': 0.2805244563879737, 'max_depth': 2.0, 'min_child_weight': 7.639460474075468, 'n_estimators': 205.0, 'subsample': 0.8058920855710565}
No.7, R2: 0.844548, MSE: 0.129464, MAE: 0.295793, EV: 0.844906 {'colsample_bytree': 0.6539243713228791, 'gamma': 0.24123772945609429, 'learning_rate': 0.28092129938808075, 'max_depth': 2.0, 'min_child_weight': 7.645553107493118, 'n_estimators': 213.0, 'subsample': 0.8066337749747002}
No.8, R2: 0.837758, MSE: 0.135119, MAE: 0.301081, EV: 0.838057 {'colsample_bytree': 0.6549453805416858, 'gamma': 0.2518761933248072, 'learning_rate': 0.2859375086212099, 'max_depth': 1.0, 'min_child_weight': 7.644086177743816, 'n_estimators': 198.0, 'subsample': 0.8070818750091199}
No.9, R2: 0.833490, MSE: 0.138673, MAE: 0.311099, EV: 0.833549 {'colsample_bytree': 0.6525862499101778, 'gamma': 0.25978004190326476, 'learning_rate': 0.2785553204003001, 'max_depth': 1.0, 'min_child_weight': 7.645574705034095, 'n_estimators': 219.0, 'subsample': 0.8038422414688102}
No.10, R2: 0.827985, MSE: 0.143258, MAE: 0.306632, EV: 0.828342 {'colsample_bytree': 0.6513114480396548, 'gamma': 0.2565593645218121, 'learning_rate': 0.27605177180618434, 'max_depth': 1.0, 'min_child_weight': 7.636943450440224, 'n_estimators': 185.0, 'subsample': 0.7985825104723502}
No.11, R2: 0.855383, MSE: 0.120441, MAE: 0.282659, EV: 0.855395 {'colsample_bytree': 0.6451671268707838, 'gamma': 0.24067596672790467, 'learning_rate': 0.27416009543213254, 'max_depth': 2.0, 'min_child_weight': 7.645111908965122, 'n_estimators': 227.0, 'subsample': 0.8063413397307029}
No.12, R2: 0.836261, MSE: 0.136366, MAE: 0.288877, EV: 0.836319 {'colsample_bytree': 0.6543993680875012, 'gamma': 0.24476127705273268, 'learning_rate': 0.2714942324559927, 'max_depth': 3.0, 'min_child_weight': 7.647890067254214, 'n_estimators': 219.0, 'subsample': 0.7979090869176502}
No.13, R2: 0.847559, MSE: 0.126957, MAE: 0.293557, EV: 0.847565 {'colsample_bytree': 0.6497692486130164, 'gamma': 0.25472399412097857, 'learning_rate': 0.27811942102897474, 'max_depth': 2.0, 'min_child_weight': 7.6369222435672, 'n_estimators': 197.0, 'subsample': 0.8092188806086584}
No.14, R2: 0.836605, MSE: 0.136080, MAE: 0.298976, EV: 0.836929 {'colsample_bytree': 0.6523510410725497, 'gamma': 0.250507243826785, 'learning_rate': 0.279424744038099, 'max_depth': 1.0, 'min_child_weight': 7.64157323146049, 'n_estimators': 189.0, 'subsample': 0.7976058197633357}
