No.21, R2: 0.823603, MSE: 0.146908, MAE: 0.313178, EV: 0.823648 {'colsample_bytree': 0.6530226135548909, 'gamma': 0.25209422607083526, 'learning_rate': 0.2700743554619122, 'max_depth': 3.0, 'min_child_weight': 7.642233870810587, 'n_estimators': 189.0, 'subsample': 0.8007866756513634}
No.22, R2: 0.822630, MSE: 0.147719, MAE: 0.305975, EV: 0.822640 {'colsample_bytree': 0.6463089498886173, 'gamma': 0.24601726557850298, 'learning_rate': 0.27644300376863945, 'max_depth': 3.0, 'min_child_weight': 7.6432308445185235, 'n_estimators': 170.0, 'subsample': 0.8051959446543377}
No.23, R2: 0.834169, MSE: 0.138109, MAE: 0.310113, EV: 0.834207 {'colsample_bytree': 0.6532145565693279, 'gamma': 0.25068474225997284, 'learning_rate': 0.27079070777761344, 'max_depth': 2.0, 'min_child_weight': 7.637921335766163, 'n_estimators': 195.0, 'subsample': 0.7986619231546489}
No.24, R2: 0.852946, MSE: 0.122470, MAE: 0.283101, EV: 0.852963 {'colsample_bytree': 0.6532167617176448, 'gamma': 0.24227333679001195, 'learning_rate': 0.2769498820858286, 'max_depth': 3.0, 'min_child_weight': 7.644139140367946, 'n_estimators': 179.0, 'subsample': 0.8018701548005136}
No.25, R2: 0.846830, MSE: 0.127564, MAE: 0.299868, EV: 0.847043 {'colsample_bytree': 0.6534960785267355, 'gamma': 0.24708464326954777, 'learning_rate': 0.2772162699158503, 'max_depth': 3.0, 'min_child_weight': 7.643094916184457, 'n_estimators': 176.0, 'subsample': 0.8091945742809749}
No.26, R2: 0.838411, MSE: 0.134575, MAE: 0.305867, EV: 0.838877 {'colsample_bytree': 0.6524207081782971, 'gamma': 0.24315395198858222, 'learning_rate': 0.2818992695828656, 'max_depth': 3.0, 'min_child_weight': 7.637670044832008, 'n_estimators': 177.0, 'subsample': 0.8025762604159891}
No.27, R2: 0.820234, MSE: 0.149713, MAE: 0.320364, EV: 0.820428 {'colsample_bytree': 0.6537652440071757, 'gamma': 0.24562430675896815, 'learning_rate': 0.2754484837737696, 'max_depth': 3.0, 'min_child_weight': 7.641266646793193, 'n_estimators': 196.0, 'subsample': 0.8016848779568718}
No.28, R2: 0.817701, MSE: 0.151823, MAE: 0.323673, EV: 0.817749 {'colsample_bytree': 0.6523862043031445, 'gamma': 0.25241750031347454, 'learning_rate': 0.27439886484903475, 'max_depth': 3.0, 'min_child_weight': 7.644746531044274, 'n_estimators': 217.0, 'subsample': 0.8055710354972428}
No.29, R2: 0.841511, MSE: 0.131993, MAE: 0.298436, EV: 0.842003 {'colsample_bytree': 0.6549152264127966, 'gamma': 0.2417266115358814, 'learning_rate': 0.27736599037466786, 'max_depth': 3.0, 'min_child_weight': 7.637959246364383, 'n_estimators': 188.0, 'subsample': 0.7988712121133658}
No.30, R2: 0.836914, MSE: 0.135822, MAE: 0.305560, EV: 0.836920 {'colsample_bytree': 0.6501039816399905, 'gamma': 0.2546280137348589, 'learning_rate': 0.2724593351173495, 'max_depth': 3.0, 'min_child_weight': 7.644795148282132, 'n_estimators': 182.0, 'subsample': 0.8080675341881095}
