No.1, R2: 0.820174, MSE: 0.149764, MAE: 0.317475, EV: 0.820617 {'colsample_bytree': 0.6494467339041756, 'gamma': 0.2572490658227995, 'learning_rate': 0.2769624053656149, 'max_depth': 1.0, 'min_child_weight': 7.6432087660656345, 'n_estimators': 174.0, 'subsample': 0.7985526666940597}
No.2, R2: 0.830540, MSE: 0.141130, MAE: 0.306279, EV: 0.830568 {'colsample_bytree': 0.6489235318872553, 'gamma': 0.2432028706949918, 'learning_rate': 0.28381963978280805, 'max_depth': 2.0, 'min_child_weight': 7.637219389964894, 'n_estimators': 207.0, 'subsample': 0.8092230238495993}
No.3, R2: 0.855041, MSE: 0.120726, MAE: 0.287570, EV: 0.855152 {'colsample_bytree': 0.6509962531362882, 'gamma': 0.25368896716340966, 'learning_rate': 0.2727023505423434, 'max_depth': 2.0, 'min_child_weight': 7.634816969950409, 'n_estimators': 240.0, 'subsample': 0.7970798280374735}
No.4, R2: 0.848358, MSE: 0.126291, MAE: 0.300537, EV: 0.848424 {'colsample_bytree': 0.6544201074262795, 'gamma': 0.2533868321918839, 'learning_rate': 0.2808695311205745, 'max_depth': 2.0, 'min_child_weight': 7.639292238529243, 'n_estimators': 175.0, 'subsample': 0.7956417491265821}
No.5, R2: 0.842923, MSE: 0.130818, MAE: 0.295705, EV: 0.843637 {'colsample_bytree': 0.6473070841712095, 'gamma': 0.24313534399508063, 'learning_rate': 0.27165697632412394, 'max_depth': 2.0, 'min_child_weight': 7.639562969134363, 'n_estimators': 205.0, 'subsample': 0.8050173627506195}
No.6, R2: 0.827461, MSE: 0.143695, MAE: 0.310997, EV: 0.827574 {'colsample_bytree': 0.6464389523839523, 'gamma': 0.24465702643289963, 'learning_rate': 0.2885367241287532, 'max_depth': 1.0, 'min_child_weight': 7.633000676613707, 'n_estimators': 218.0, 'subsample': 0.7981907620912599}
No.7, R2: 0.862762, MSE: 0.114295, MAE: 0.280301, EV: 0.862778 {'colsample_bytree': 0.6502976826980705, 'gamma': 0.2435826307411967, 'learning_rate': 0.2802747555868733, 'max_depth': 3.0, 'min_child_weight': 7.637011367774952, 'n_estimators': 231.0, 'subsample': 0.806849330691342}
No.8, R2: 0.862163, MSE: 0.114794, MAE: 0.286733, EV: 0.862165 {'colsample_bytree': 0.6461726570832269, 'gamma': 0.2427517075964744, 'learning_rate': 0.2788240971444415, 'max_depth': 2.0, 'min_child_weight': 7.649420262169952, 'n_estimators': 175.0, 'subsample': 0.8005992608050142}
No.9, R2: 0.814226, MSE: 0.154717, MAE: 0.321693, EV: 0.814577 {'colsample_bytree': 0.6489147976202464, 'gamma': 0.24458661315768343, 'learning_rate': 0.2797188417660245, 'max_depth': 2.0, 'min_child_weight': 7.644649064737102, 'n_estimators': 210.0, 'subsample': 0.8095077104934971}
No.10, R2: 0.870441, MSE: 0.107900, MAE: 0.276411, EV: 0.870484 {'colsample_bytree': 0.6470123531633756, 'gamma': 0.24132813445449997, 'learning_rate': 0.28060072037088407, 'max_depth': 2.0, 'min_child_weight': 7.64184469489694, 'n_estimators': 185.0, 'subsample': 0.8019896367004669}
No.11, R2: 0.832713, MSE: 0.139321, MAE: 0.317121, EV: 0.832748 {'colsample_bytree': 0.6452301685316719, 'gamma': 0.2541312588699539, 'learning_rate': 0.27684538060261343, 'max_depth': 2.0, 'min_child_weight': 7.649420404304778, 'n_estimators': 225.0, 'subsample': 0.8090999385534058}
