No.1, R2: 0.850311, MSE: 0.124665, MAE: 0.290844, EV: 0.850964 {'colsample_bytree': 0.6544085325721951, 'gamma': 0.25413724421339423, 'learning_rate': 0.2754002306294623, 'max_depth': 2.0, 'min_child_weight': 7.645886352680856, 'n_estimators': 180.0, 'subsample': 0.8066916349164364}
No.2, R2: 0.834861, MSE: 0.137532, MAE: 0.302162, EV: 0.835924 {'colsample_bytree': 0.646113579138119, 'gamma': 0.2509456003342311, 'learning_rate': 0.2753316759162531, 'max_depth': 1.0, 'min_child_weight': 7.635245994762297, 'n_estimators': 172.0, 'subsample': 0.8095849787976213}
No.3, R2: 0.832117, MSE: 0.139817, MAE: 0.312342, EV: 0.832632 {'colsample_bytree': 0.6509561409797968, 'gamma': 0.24139265843095428, 'learning_rate': 0.2848958483925181, 'max_depth': 1.0, 'min_child_weight': 7.632699818919043, 'n_estimators': 209.0, 'subsample': 0.8075959511607532}
No.4, R2: 0.834246, MSE: 0.138044, MAE: 0.307921, EV: 0.834634 {'colsample_bytree': 0.6481223208331003, 'gamma': 0.24824941459718758, 'learning_rate': 0.2729461023642884, 'max_depth': 2.0, 'min_child_weight': 7.645439275883503, 'n_estimators': 236.0, 'subsample': 0.804796390079247}
No.5, R2: 0.845215, MSE: 0.128908, MAE: 0.295845, EV: 0.845245 {'colsample_bytree': 0.6522891373066909, 'gamma': 0.24967339078438927, 'learning_rate': 0.2835838531188895, 'max_depth': 2.0, 'min_child_weight': 7.637502789662489, 'n_estimators': 242.0, 'subsample': 0.7972435945792602}
No.6, R2: 0.856826, MSE: 0.119239, MAE: 0.285293, EV: 0.856999 {'colsample_bytree': 0.6505507936177303, 'gamma': 0.25782250261103423, 'learning_rate': 0.28625393011092387, 'max_depth': 3.0, 'min_child_weight': 7.645759721287354, 'n_estimators': 222.0, 'subsample': 0.8063096106885989}
No.7, R2: 0.862997, MSE: 0.114100, MAE: 0.278060, EV: 0.863814 {'colsample_bytree': 0.6522814669196144, 'gamma': 0.24539322582594567, 'learning_rate': 0.27215621281309077, 'max_depth': 2.0, 'min_child_weight': 7.636603406003985, 'n_estimators': 214.0, 'subsample': 0.7969663542866385}
No.8, R2: 0.827082, MSE: 0.144011, MAE: 0.312071, EV: 0.828098 {'colsample_bytree': 0.6480231727934003, 'gamma': 0.25047603886889297, 'learning_rate': 0.28505364031535885, 'max_depth': 3.0, 'min_child_weight': 7.633524551718143, 'n_estimators': 243.0, 'subsample': 0.8082056129263032}
No.9, R2: 0.835733, MSE: 0.136805, MAE: 0.303475, EV: 0.835739 {'colsample_bytree': 0.6525827074894992, 'gamma': 0.2503566094088786, 'learning_rate': 0.27689416754261187, 'max_depth': 3.0, 'min_child_weight': 7.63849918511111, 'n_estimators': 202.0, 'subsample': 0.8013103888179044}
No.10, R2: 0.829032, MSE: 0.142386, MAE: 0.312396, EV: 0.829343 {'colsample_bytree': 0.6548592690994719, 'gamma': 0.2428496201550695, 'learning_rate': 0.2823879458945499, 'max_depth': 2.0, 'min_child_weight': 7.639337018468599, 'n_estimators': 244.0, 'subsample': 0.7989555546715507}
No.11, R2: 0.875216, MSE: 0.103923, MAE: 0.267867, EV: 0.875216 {'colsample_bytree': 0.64930393200099, 'gamma': 0.25680238248637394, 'learning_rate': 0.2807214694493304, 'max_depth': 2.0, 'min_child_weight': 7.642646021836134, 'n_estimators': 208.0, 'subsample': 0.8023193984872152}
No.12, R2: 0.835488, MSE: 0.137010, MAE: 0.303858, EV: 0.835910 {'colsample_bytree': 0.6490222754475737, 'gamma': 0.24363459811105972, 'learning_rate': 0.2880353486082733, 'max_depth': 1.0, 'min_child_weight': 7.634666846322325, 'n_estimators': 247.0, 'subsample': 0.7996356491867294}
