No.1, R2: 0.851725, MSE: 0.123487, MAE: 0.288045, EV: 0.852902 {'colsample_bytree': 0.6453111463689266, 'gamma': 0.24266715212652715, 'learning_rate': 0.2779724906747749, 'max_depth': 3.0, 'min_child_weight': 7.638412853680135, 'n_estimators': 196.0, 'subsample': 0.8028203819900591}
No.2, R2: 0.861573, MSE: 0.115286, MAE: 0.283828, EV: 0.861585 {'colsample_bytree': 0.6487629847061646, 'gamma': 0.24518868006258965, 'learning_rate': 0.273447262456842, 'max_depth': 2.0, 'min_child_weight': 7.6394522121824435, 'n_estimators': 174.0, 'subsample': 0.804407794354957}
No.3, R2: 0.850540, MSE: 0.124474, MAE: 0.293781, EV: 0.850632 {'colsample_bytree': 0.6503849843488767, 'gamma': 0.25883076607733424, 'learning_rate': 0.27242317618730766, 'max_depth': 2.0, 'min_child_weight': 7.637758112285713, 'n_estimators': 192.0, 'subsample': 0.8077171659104935}
No.4, R2: 0.841031, MSE: 0.132393, MAE: 0.297417, EV: 0.841136 {'colsample_bytree': 0.6461002560859623, 'gamma': 0.24267926914388058, 'learning_rate': 0.2832391439225318, 'max_depth': 2.0, 'min_child_weight': 7.633466196135235, 'n_estimators': 201.0, 'subsample': 0.8053509506449011}
No.5, R2: 0.853276, MSE: 0.122195, MAE: 0.287716, EV: 0.853279 {'colsample_bytree': 0.6463333045360145, 'gamma': 0.24106119153501562, 'learning_rate': 0.2771262924785474, 'max_depth': 2.0, 'min_child_weight': 7.649639178328169, 'n_estimators': 174.0, 'subsample': 0.8065480154512102}
No.6, R2: 0.840658, MSE: 0.132704, MAE: 0.298547, EV: 0.841601 {'colsample_bytree': 0.6475047574801507, 'gamma': 0.24937627039490926, 'learning_rate': 0.27023741358976383, 'max_depth': 1.0, 'min_child_weight': 7.635423914399217, 'n_estimators': 208.0, 'subsample': 0.8068161179975691}
No.7, R2: 0.845255, MSE: 0.128876, MAE: 0.296319, EV: 0.845330 {'colsample_bytree': 0.6498914758581982, 'gamma': 0.24886532977443884, 'learning_rate': 0.28447839623262183, 'max_depth': 2.0, 'min_child_weight': 7.6390266844138255, 'n_estimators': 192.0, 'subsample': 0.8060518929702591}
No.8, R2: 0.855601, MSE: 0.120259, MAE: 0.283792, EV: 0.855605 {'colsample_bytree': 0.6500840452094905, 'gamma': 0.2575933275768179, 'learning_rate': 0.27333739641122434, 'max_depth': 2.0, 'min_child_weight': 7.642938505669616, 'n_estimators': 171.0, 'subsample': 0.8018752209940068}
No.9, R2: 0.829608, MSE: 0.141907, MAE: 0.311097, EV: 0.829873 {'colsample_bytree': 0.6511101780038745, 'gamma': 0.2584089806859933, 'learning_rate': 0.2838673396449201, 'max_depth': 1.0, 'min_child_weight': 7.632690954803054, 'n_estimators': 203.0, 'subsample': 0.806338527972494}
No.10, R2: 0.834041, MSE: 0.138215, MAE: 0.307703, EV: 0.834226 {'colsample_bytree': 0.6459519614500435, 'gamma': 0.2528866689482687, 'learning_rate': 0.2866592183626758, 'max_depth': 1.0, 'min_child_weight': 7.644822289654649, 'n_estimators': 181.0, 'subsample': 0.8084778954220022}
No.11, R2: 0.818863, MSE: 0.150855, MAE: 0.324318, EV: 0.818987 {'colsample_bytree': 0.6516309824338585, 'gamma': 0.25945974985085063, 'learning_rate': 0.2878384161005694, 'max_depth': 2.0, 'min_child_weight': 7.64655510318553, 'n_estimators': 205.0, 'subsample': 0.8012140155696202}
No.12, R2: 0.831825, MSE: 0.140060, MAE: 0.306171, EV: 0.832046 {'colsample_bytree': 0.6474713618390001, 'gamma': 0.24292799280159597, 'learning_rate': 0.28182925092465416, 'max_depth': 1.0, 'min_child_weight': 7.641770025196835, 'n_estimators': 218.0, 'subsample': 0.8020356190939414}
No.13, R2: 0.844050, MSE: 0.129879, MAE: 0.298068, EV: 0.844181 {'colsample_bytree': 0.6541806401543596, 'gamma': 0.2531772174176312, 'learning_rate': 0.2711046558458553, 'max_depth': 3.0, 'min_child_weight': 7.644464918100821, 'n_estimators': 242.0, 'subsample': 0.7984760862661832}
No.14, R2: 0.833403, MSE: 0.138746, MAE: 0.320971, EV: 0.833635 {'colsample_bytree': 0.652772625366756, 'gamma': 0.24697378361546435, 'learning_rate': 0.28929119501288314, 'max_depth': 2.0, 'min_child_weight': 7.631870039399316, 'n_estimators': 199.0, 'subsample': 0.8062180243368996}
No.15, R2: 0.827599, MSE: 0.143580, MAE: 0.309513, EV: 0.827612 {'colsample_bytree': 0.6484706013305812, 'gamma': 0.2550901158335325, 'learning_rate': 0.27606121005624623, 'max_depth': 3.0, 'min_child_weight': 7.6329529618648255, 'n_estimators': 239.0, 'subsample': 0.7956284293144327}
No.16, R2: 0.858810, MSE: 0.117587, MAE: 0.283821, EV: 0.858955 {'colsample_bytree': 0.6468157242857022, 'gamma': 0.2543658837576961, 'learning_rate': 0.27372720855743854, 'max_depth': 2.0, 'min_child_weight': 7.6465121085810255, 'n_estimators': 222.0, 'subsample': 0.8015841409077304}
No.17, R2: 0.819103, MSE: 0.150655, MAE: 0.313111, EV: 0.819566 {'colsample_bytree': 0.6488876210832285, 'gamma': 0.24550355856863076, 'learning_rate': 0.28689416154796094, 'max_depth': 2.0, 'min_child_weight': 7.633627312070097, 'n_estimators': 203.0, 'subsample': 0.7961764582834887}
No.18, R2: 0.833474, MSE: 0.138687, MAE: 0.311093, EV: 0.833567 {'colsample_bytree': 0.6493967915871358, 'gamma': 0.24582182574779288, 'learning_rate': 0.2869406163368592, 'max_depth': 1.0, 'min_child_weight': 7.635488548505084, 'n_estimators': 211.0, 'subsample': 0.8043626121696116}
No.19, R2: 0.857667, MSE: 0.118539, MAE: 0.282896, EV: 0.857672 {'colsample_bytree': 0.6516547690266477, 'gamma': 0.2549105822951418, 'learning_rate': 0.2755079350339508, 'max_depth': 2.0, 'min_child_weight': 7.6486775591208644, 'n_estimators': 214.0, 'subsample': 0.8012916787690606}
No.20, R2: 0.844983, MSE: 0.129102, MAE: 0.293462, EV: 0.845234 {'colsample_bytree': 0.6470016766567833, 'gamma': 0.2410327597264079, 'learning_rate': 0.2865161522083671, 'max_depth': 1.0, 'min_child_weight': 7.6484036434377956, 'n_estimators': 207.0, 'subsample': 0.8014277159612347}
No.21, R2: 0.838115, MSE: 0.134821, MAE: 0.306135, EV: 0.838130 {'colsample_bytree': 0.6480738833770994, 'gamma': 0.25127922943446973, 'learning_rate': 0.2798325773125731, 'max_depth': 3.0, 'min_child_weight': 7.6412431951591095, 'n_estimators': 228.0, 'subsample': 0.8097927500472802}
No.22, R2: 0.825880, MSE: 0.145011, MAE: 0.312177, EV: 0.826024 {'colsample_bytree': 0.6453233410783549, 'gamma': 0.2476669842554977, 'learning_rate': 0.27353514143131785, 'max_depth': 3.0, 'min_child_weight': 7.646581912875889, 'n_estimators': 225.0, 'subsample': 0.7998767447076083}
No.23, R2: 0.853400, MSE: 0.122092, MAE: 0.289127, EV: 0.853416 {'colsample_bytree': 0.6468158119007409, 'gamma': 0.25097077480455054, 'learning_rate': 0.2788718891734589, 'max_depth': 2.0, 'min_child_weight': 7.640469533655114, 'n_estimators': 249.0, 'subsample': 0.8038540077352389}
No.24, R2: 0.841569, MSE: 0.131946, MAE: 0.301990, EV: 0.841572 {'colsample_bytree': 0.6479286834821562, 'gamma': 0.2558210877558819, 'learning_rate': 0.2747933965792263, 'max_depth': 2.0, 'min_child_weight': 7.6367116317865325, 'n_estimators': 230.0, 'subsample': 0.7987489939910166}
No.25, R2: 0.807806, MSE: 0.160064, MAE: 0.327162, EV: 0.807948 {'colsample_bytree': 0.6488480619877178, 'gamma': 0.24480535381681318, 'learning_rate': 0.271481560409185, 'max_depth': 3.0, 'min_child_weight': 7.643636449863856, 'n_estimators': 180.0, 'subsample': 0.8037928465765887}
No.26, R2: 0.864079, MSE: 0.113198, MAE: 0.280926, EV: 0.864309 {'colsample_bytree': 0.6450424327511979, 'gamma': 0.25207620652274515, 'learning_rate': 0.2747062672298914, 'max_depth': 2.0, 'min_child_weight': 7.646217935468082, 'n_estimators': 236.0, 'subsample': 0.7999414268265816}
No.27, R2: 0.837081, MSE: 0.135683, MAE: 0.294768, EV: 0.838987 {'colsample_bytree': 0.6542984033385072, 'gamma': 0.2517907131242988, 'learning_rate': 0.27732206250289887, 'max_depth': 2.0, 'min_child_weight': 7.630583867151335, 'n_estimators': 234.0, 'subsample': 0.7975834493450182}
