No.1, R2: 0.836442, MSE: 0.136215, MAE: 0.302477, EV: 0.836668 {'colsample_bytree': 0.6453356170489132, 'gamma': 0.2414521482159989, 'learning_rate': 0.27325493239780196, 'max_depth': 1.0, 'min_child_weight': 7.637062100081565, 'n_estimators': 239.0, 'subsample': 0.8089366913544488}
No.2, R2: 0.836998, MSE: 0.135752, MAE: 0.299677, EV: 0.838517 {'colsample_bytree': 0.6516441251328005, 'gamma': 0.24745665788173496, 'learning_rate': 0.284812170217762, 'max_depth': 1.0, 'min_child_weight': 7.64205688387227, 'n_estimators': 247.0, 'subsample': 0.8014623341380758}
No.3, R2: 0.854762, MSE: 0.120958, MAE: 0.290277, EV: 0.854774 {'colsample_bytree': 0.6492349451079087, 'gamma': 0.2429263296370075, 'learning_rate': 0.27803057018100913, 'max_depth': 2.0, 'min_child_weight': 7.638032401620913, 'n_estimators': 209.0, 'subsample': 0.8034346721561055}
No.4, R2: 0.860196, MSE: 0.116432, MAE: 0.278998, EV: 0.860198 {'colsample_bytree': 0.6460680031165448, 'gamma': 0.2508172349138897, 'learning_rate': 0.2716287883156627, 'max_depth': 2.0, 'min_child_weight': 7.64015521220857, 'n_estimators': 248.0, 'subsample': 0.7983935043928561}
No.5, R2: 0.829352, MSE: 0.142120, MAE: 0.308354, EV: 0.829986 {'colsample_bytree': 0.6462760815572816, 'gamma': 0.2533903347247209, 'learning_rate': 0.2867882698957175, 'max_depth': 1.0, 'min_child_weight': 7.634194579598753, 'n_estimators': 187.0, 'subsample': 0.802641535684263}
No.6, R2: 0.857233, MSE: 0.118900, MAE: 0.280789, EV: 0.857291 {'colsample_bytree': 0.6499144664152737, 'gamma': 0.24045648702607034, 'learning_rate': 0.276112167554732, 'max_depth': 2.0, 'min_child_weight': 7.649663407068291, 'n_estimators': 240.0, 'subsample': 0.8015691476905497}
No.7, R2: 0.840998, MSE: 0.132421, MAE: 0.300212, EV: 0.841775 {'colsample_bytree': 0.6471855658973286, 'gamma': 0.2592083758254712, 'learning_rate': 0.285823263229479, 'max_depth': 2.0, 'min_child_weight': 7.638413492145068, 'n_estimators': 209.0, 'subsample': 0.8080168032409212}
No.8, R2: 0.833553, MSE: 0.138621, MAE: 0.306292, EV: 0.833582 {'colsample_bytree': 0.6539772018680384, 'gamma': 0.25361231956728575, 'learning_rate': 0.27634425423493314, 'max_depth': 3.0, 'min_child_weight': 7.638040311899255, 'n_estimators': 243.0, 'subsample': 0.8044844042107419}
No.9, R2: 0.852358, MSE: 0.122960, MAE: 0.282316, EV: 0.852543 {'colsample_bytree': 0.6516697827424913, 'gamma': 0.2562387179145698, 'learning_rate': 0.27233955940207155, 'max_depth': 3.0, 'min_child_weight': 7.635103093020157, 'n_estimators': 196.0, 'subsample': 0.8092154098028552}
No.10, R2: 0.850409, MSE: 0.124583, MAE: 0.294471, EV: 0.850473 {'colsample_bytree': 0.6493489244323639, 'gamma': 0.2416145551933593, 'learning_rate': 0.27370319870140214, 'max_depth': 2.0, 'min_child_weight': 7.6456602262049085, 'n_estimators': 245.0, 'subsample': 0.7975994746762792}
No.11, R2: 0.826118, MSE: 0.144813, MAE: 0.308965, EV: 0.827349 {'colsample_bytree': 0.6521378792083251, 'gamma': 0.2573685630154617, 'learning_rate': 0.273152939342498, 'max_depth': 1.0, 'min_child_weight': 7.637266725020226, 'n_estimators': 244.0, 'subsample': 0.8009712376219771}
No.12, R2: 0.845201, MSE: 0.128921, MAE: 0.289336, EV: 0.845331 {'colsample_bytree': 0.6486296015912083, 'gamma': 0.25356861962684357, 'learning_rate': 0.2701654315581024, 'max_depth': 2.0, 'min_child_weight': 7.64536897491779, 'n_estimators': 198.0, 'subsample': 0.802324122958038}
No.13, R2: 0.827998, MSE: 0.143248, MAE: 0.313172, EV: 0.828354 {'colsample_bytree': 0.6453378038045682, 'gamma': 0.24828028663637383, 'learning_rate': 0.2721667742148099, 'max_depth': 3.0, 'min_child_weight': 7.6464248916085875, 'n_estimators': 242.0, 'subsample': 0.8056541903264369}
No.14, R2: 0.825441, MSE: 0.145377, MAE: 0.305953, EV: 0.825545 {'colsample_bytree': 0.653994633088801, 'gamma': 0.2567317561800346, 'learning_rate': 0.2833685355902572, 'max_depth': 2.0, 'min_child_weight': 7.64517512718134, 'n_estimators': 205.0, 'subsample': 0.7999833155080843}
No.15, R2: 0.863312, MSE: 0.113837, MAE: 0.285967, EV: 0.863314 {'colsample_bytree': 0.6545375696271165, 'gamma': 0.2593814228244063, 'learning_rate': 0.2709521219042324, 'max_depth': 2.0, 'min_child_weight': 7.634624066621293, 'n_estimators': 175.0, 'subsample': 0.7969059889791037}
No.16, R2: 0.807411, MSE: 0.160393, MAE: 0.333211, EV: 0.807478 {'colsample_bytree': 0.6520703615031309, 'gamma': 0.24838510692349708, 'learning_rate': 0.28243727681281033, 'max_depth': 3.0, 'min_child_weight': 7.632830757123356, 'n_estimators': 222.0, 'subsample': 0.8021724874568962}
No.17, R2: 0.844928, MSE: 0.129148, MAE: 0.291181, EV: 0.845393 {'colsample_bytree': 0.6504009436419629, 'gamma': 0.25271860213321884, 'learning_rate': 0.2778728499491428, 'max_depth': 1.0, 'min_child_weight': 7.64190754043518, 'n_estimators': 216.0, 'subsample': 0.8008118088297597}
No.18, R2: 0.839293, MSE: 0.133841, MAE: 0.309940, EV: 0.839622 {'colsample_bytree': 0.6535417872087659, 'gamma': 0.25522101912628464, 'learning_rate': 0.2706420354978006, 'max_depth': 2.0, 'min_child_weight': 7.647733157793869, 'n_estimators': 212.0, 'subsample': 0.8089856221428098}
